剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
6322,机遇,除夕盛宴,作为皇后，你需亲自安排除夕的烟花与晚宴。,安排新颖的万民同乐灯会,声望,180,皇上大悦，称此为盛世气象。,"声望+30;圣宠+15",灯会失火造成混乱。,"死亡",表演一段剑舞祝酒,体质,175,你英姿焕发，皇上豪情万丈。,"圣宠+25;体质+10",体力不支剑掉在地上。,"声望-40",1
6323,博弈,嫔妃争斗,两名妃子因家族恩怨在宫中公然互殴。,各杖责二十以儆效尤,声望,185,你威震六宫，再无人敢造次。,"声望+25;心机+10",其中一人自尽，你被指逼人太甚。,"声望-50",通过调解解决家族矛盾,心机,180,你成了众人的精神领袖。,"心机+25;声望+20",两人合谋陷害你偏袒。,"死亡",0
6324,日常,练习礼仪,你已是皇后，但依然坚持每日练习登基大礼。,仪态万千无可挑剔,容貌,175,你成了天下女子的典范。,"容貌+20;声望+15",由于凤冠太重导致颈椎受伤。,"体质-30",教导身边女官仪容,心机,165,你的人马皆具备王妃风度。,"心机+15",被指责在宫中培养私兵。,"死亡",0
6325,机遇,深夜访谈,皇上提到想封你母家为世袭公爵。,婉言谢绝以保家族长久,心机,185,皇上赞你远见卓识，更重用你。,"心机+30;圣宠+15",家族从此视你为敌。,"声望-100",谢恩并提议建立家族义仓,声望,180,皇上赞你贵而不忘本。,"声望+30;圣宠+10",被弹劾家族势力渗透民间。,"死亡",1
6326,日常,书籍编纂,你计划编纂一本《女则》供天下女子研读。,言辞优美逻辑严密,才情,185,你成为了受人景仰的圣贤皇后。,"才情+30;声望+50",被儒生指责女子不应著书。,"声望-40",请皇上亲自写序,圣宠,2500,此书成了国策，你地位永固。,"圣宠+50;声望+100",皇上觉得你太爱出风头。,"圣宠-50",0
6327,博弈,太后禅让,太后想将后宫财权完全交予你。,建立严谨的财务报表制度,心机,180,后宫开支减半，皇上大喜。,"心机+30;声望+20",账目混乱被太后责罚。,"声望-40",将财权分给各宫贵妃共管,声望,175,你赢得了前所未有的拥护。,"声望+40;心机+10",被指责权力流失，太后不满。,"心机-30",0
6328,机遇,春日祈雨,大旱三年，皇上命你带众妃去祭坛求雨。,长跪不起感动上苍,体质,180,雨落京城，你被视为神女下凡。,"圣宠+100;声望+500",求雨未果，反被指责德行有亏。,"死亡",撰写祭天祈雨文告,才情,175,文辞凄切动人。,"声望+100;才情+30",文章平庸。,"声望-20",0
6329,日常,御画品鉴,皇上新画了一幅《江山万里图》。,指出图中地理瑕疵,才情,185,皇上惊叹你的博学。,"才情+20;圣宠+15",皇上觉得你落他面子。,"圣宠-30",在画旁题上一段佳话,容貌,170,画因你而增色。,"圣宠+20;容貌+10",题字弄脏了画面。,"死亡",1
6330,巅峰,百年好合,皇上要在凤仪宫与你共饮合卺酒，重温初见。,以一生深情回应,容貌,180,你与皇上恩爱白头，成为佳话。,"圣宠+100;容貌+20",你此时因劳累而面露老态。,"圣宠-50",以此机会请求大赦天下,声望,190,你成为了万民景仰的救世皇后。,"声望+1000",被指责干扰司法公正。,"死亡",1
6311,博弈,凤印之威,一名贵妃在账目上动手脚，试图架空你的权力。,当众查账并夺其协理权,心机,175,你雷厉风行，彻底稳固了治理权。,"心机+20;声望+15",被指责心胸狭隘不容人。,"声望-30",私下敲打令其自首,声望,170,她对你感恩戴德，从此效忠。,"声望+20;心机+10",她反咬一口，指你栽赃。,"死亡",0
6312,日常,主持蚕礼,你需率领命妇出城举行亲蚕礼，以示重农。,亲自采桑展现勤勉,体质,160,天下学子皆赞皇后贤德。,"声望+25;体质+10",你在桑林中体力不支晕倒。,"体质-30",庄严宣读祭祀文告,才情,170,你的才情让朝廷重臣皆服。,"才情+20;声望+15",读错祭文被指不祥。,"死亡",0
6313,机遇,皇帝宿疾,皇上因连日批阅奏章导致眼疾，暂住你宫中。,亲手调配明目药膏,体质,155,皇上眼疾缓解，对你倍加感激。,"圣宠+20;体质-5",药膏导致皇上眼部过敏。,"死亡",读书给皇上听以代劳,才情,175,皇上赞你是他的“解语花”。,"圣宠+25;才情+15",由于涉及机密，引起皇上猜忌。,"圣宠-40",1
6314,日常,后宫大考,你负责考核后宫嫔妃的言行德行。,秉公处理重罚违规者,声望,180,后宫风气一振，肃穆有礼。,"声望+30;心机+10",被弹劾治理过于严苛。,"声望-40",设立奖赏激励优秀者,心机,165,嫔妃们皆对你交口称赞。,"心机+15;声望+10",被人私下嘲笑你是“滥好人”。,"心机-10",0
6315,机遇,微服出巡,皇上提议带你换上民服，去京城街头微访。,体察民情撰写建言,才情,180,你的建议切中时弊，皇上大赞。,"圣宠+20;才情+20",言论过于激进，令皇上反感。,"圣宠-20",在街头与皇上共食小吃,容貌,170,皇上重温了平凡夫妻的快乐。,"圣宠+25;容貌+5",你不适应民间粗食，当众呕吐。,"声望-30",1
6316,博弈,外戚之争,你的母家请求你为其在朝中争取肥差。,严词谢绝并告诫族人,声望,185,皇上赞你大公无私，更信任你。,"声望+30;心机+15",家族与你决裂，后援尽失。,"声望-50",举荐族中有才者从基层做起,心机,175,皇上觉得你举贤不避亲。,"心机+20;圣宠+10",被言官弹劾任人唯亲。,"死亡",0
6317,日常,整理凤仪宫,你在库房发现一卷前朝皇后的手绘图。,临摹其神韵自省其德,才情,170,你的修养达到了新的境界。,"才情+15;声望+10",被指责崇尚前朝遗风。,"声望-20",请皇上共同修缮此画,容貌,165,两人共享宁静的书画时光。,"圣宠+15;容貌+10",你不小心撕裂了画轴。,"圣宠-20",1
6318,机遇,番邦贺礼,外国使臣送来一尊巨大的红珊瑚，皇上交由你陈设。,摆放在太后寝宫尽孝,声望,175,太后逢人便夸你孝顺。,"声望+30;心机+10",珊瑚在搬运中碎了一角。,"死亡",摆在正殿接受众妃朝拜,心机,170,展现了中宫不可撼动的地位。,"心机+20;声望+10",被指责穷兵黩武。,"声望-30",0
6319,日常,研磨墨香,皇上在凤仪宫提笔书写“母仪天下”。,在旁屏息研磨顶级朱砂,体质,160,红袖添香，意境深远。,"圣宠+20;体质+5",墨水溅到了皇上的白袍上。,"圣宠-20",为此字题写跋文,才情,180,皇上赞你字迹已有大家之风。,"圣宠+25;才情+15",题字中有错漏。,"死亡",1
6320,死局,谋逆伪证,有人将一封与外邦私通的信件藏在你凤床之下。,冷静利用香气追踪陷害之人,心机,185,你抓住了企图越位的贵妃。,"心机+30;声望+20",搜查官先于你找到了信件。,"死亡",在大殿上当众自焚信件,声望,180,皇上信赖你的为人，不查自明。,"圣宠+30;声望+20",皇上认为你在销毁证据。,"死亡",0
6321,日常,修剪宫苑,你决定亲手修剪凤仪宫的百花。,剪出山河壮丽之态,才情,170,皇上赞你心中有乾坤。,"才情+15;圣宠+10",剪断了皇上最爱的奇花。,"圣宠-30",指导年轻嫔妃修剪,心机,165,你展现了中宫的教化之功。,"心机+15;声望+10",嫔妃们觉得你在刁难她们。,"声望-10",0
6322,机遇,除夕盛宴,作为皇后，你需亲自安排除夕的烟花与晚宴。,安排新颖的万民同乐灯会,声望,180,皇上大悦，称此为盛世气象。,"声望+30;圣宠+15",灯会失火造成混乱。,"死亡",表演一段剑舞祝酒,体质,175,你英姿焕发，皇上豪情万丈。,"圣宠+25;体质+10",体力不支剑掉在地上。,"声望-40",1
6323,博弈,嫔妃争斗,两名妃子因家族恩怨在宫中公然互殴。,各杖责二十以儆效尤,声望,185,你威震六宫，再无人敢造次。,"声望+25;心机+10",其中一人自尽，你被指逼人太甚。,"声望-50",通过调解解决家族矛盾,心机,180,你成了众人的精神领袖。,"心机+25;声望+20",两人合谋陷害你偏袒。,"死亡",0
6324,日常,练习礼仪,你已是皇后，但依然坚持每日练习登基大礼。,仪态万千无可挑剔,容貌,175,你成了天下女子的典范。,"容貌+20;声望+15",由于凤冠太重导致颈椎受伤。,"体质-30",教导身边女官仪容,心机,165,你的人马皆具备王妃风度。,"心机+15",被指责在宫中培养私兵。,"死亡",0
6325,机遇,深夜访谈,皇上提到想封你母家为世袭公爵。,婉言谢绝以保家族长久,心机,185,皇上赞你远见卓识，更重用你。,"心机+30;圣宠+15",家族从此视你为敌。,"声望-100",谢恩并提议建立家族义仓,声望,180,皇上赞你贵而不忘本。,"声望+30;圣宠+10",被弹劾家族势力渗透民间。,"死亡",1
6326,日常,书籍编纂,你计划编纂一本《女则》供天下女子研读。,言辞优美逻辑严密,才情,185,你成为了受人景仰的圣贤皇后。,"才情+30;声望+50",被儒生指责女子不应著书。,"声望-40",请皇上亲自写序,圣宠,2500,此书成了国策，你地位永固。,"圣宠+50;声望+100",皇上觉得你太爱出风头。,"圣宠-50",0
6327,博弈,太后禅让,太后想将后宫财权完全交予你。,建立严谨的财务报表制度,心机,180,后宫开支减半，皇上大喜。,"心机+30;声望+20",账目混乱被太后责罚。,"声望-40",将财权分给各宫贵妃共管,声望,175,你赢得了前所未有的拥护。,"声望+40;心机+10",被指责权力流失，太后不满。,"心机-30",0
6328,机遇,春日祈雨,大旱三年，皇上命你带众妃去祭坛求雨。,长跪不起感动上苍,体质,180,雨落京城，你被视为神女下凡。,"圣宠+100;声望+500",求雨未果，反被指责德行有亏。,"死亡",撰写祭天祈雨文告,才情,175,文辞凄切动人。,"声望+100;才情+30",文章平庸。,"声望-20",0
6329,日常,御画品鉴,皇上新画了一幅《江山万里图》。,指出图中地理瑕疵,才情,185,皇上惊叹你的博学。,"才情+20;圣宠+15",皇上觉得你落他面子。,"圣宠-30",在画旁题上一段佳话,容貌,170,画因你而增色。,"圣宠+20;容貌+10",题字弄脏了画面。,"死亡",1
6330,巅峰,百年好合,皇上要在凤仪宫与你共饮合卺酒，重温初见。,以一生深情回应,容貌,180,你与皇上恩爱白头，成为佳话。,"圣宠+100;容貌+20",你此时因劳累而面露老态。,"圣宠-50",以此机会请求大赦天下,声望,190,你成为了万民景仰的救世皇后。,"声望+1000",被指责干扰司法公正。,"死亡",1
