剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
4161,机遇,岁末分封,皇上要在跨年夜提拔一名妃子为贵妃。,展示管理后宫的功绩,心机,145,皇上赞你治宫有方，正式晋封你。,"圣宠+500;声望+500",被指控独揽大权，野心勃勃。,"死亡",展示你对皇上的深情,容貌,140,皇上感念你多年的陪伴，特旨晋封。,"圣宠+400;容貌+50",皇上觉得你已年华老去。,"圣宠-80",1
4162,日常,园中赏雪,雪后初晴，皇上邀你同赏梅花。,即兴赋诗一首,才情,140,你的诗才惊艳全场，皇上赏赐金花。,"才情+80;圣宠+60",你憋了半天写得极差。,"声望-30",在雪中为皇上烹茶,体质,125,皇上喝着暖茶，心头火热。,"圣宠+100;体质-20",雪水未融，茶味苦涩。,"圣宠-20",1
4163,博弈,嫔妃投靠,几名低位嫔妃想投奔你，寻求你的庇护。,大方接纳并分赏,声望,135,你成了后宫一股不可忽视的势力。,"声望+150;心机+60",被指责结党营私，祸乱后宫。,"死亡",婉言拒绝保持中立,心机,130,你保全了名声，皇上赞你清高。,"声望+80;心机+40",你被众人排挤，孤立无援。,"声望-100",0
4164,机遇,边疆家信,你哥哥在边疆战死，皇上悲痛万分。,强忍悲痛安慰皇上,容貌,140,皇上深感你的大义，封你为皇贵妃。,"圣宠+800;声望+500",你当场哭晕过去，皇上嫌你晦气。,"圣宠-100",请求亲自去祭奠,体质,135,皇上赞你兄妹情深，亲自陪你去。,"圣宠+200;体质-40",皇上不准，你郁郁寡欢。,"体质-50",1
4165,日常,临摹御笔,皇上送来一幅他的字，让你临摹。,临摹得一模一样,才情,145,皇上赞你是他的知音，与你共赏书画。,"才情+100;圣宠+80",你临摹得四不像。,"才情-30",加入自己的感悟重写,心机,130,皇上觉得你很有灵气。,"圣宠+60;心机+40",皇上觉得你亵渎御笔。,"死亡",1
4166,博弈,后宫裁撤,皇上想削减后宫开支，命你拟定名单。,裁撤受宠但张扬的人,心机,145,你成功除掉了眼中钉，皇上还夸你公正。,"心机+120;声望+80",对方告到皇上那里，你被责罚。,"圣宠-150",自己带头削减用度,声望,140,后宫人人效仿，皇上赞你贤德。,"声望+300;圣宠+100",你过得太寒酸，皇上不愿来了。,"圣宠-60",0
4167,机遇,皇帝噩梦,皇上梦见你背叛了他，惊醒后满头大汗。,用身体和热吻安抚,容貌,145,皇上在你的温柔中彻底沦陷。,"圣宠+250;容貌+40",皇上推开了你，心生嫌隙。,"圣宠-120",写下保证书盖上私印,才情,135,皇上将此作为至宝收藏。,"圣宠+180;才情+50",皇上觉得你太虚伪。,"圣宠-50",1
4168,日常,庭院种植,你想在宫里种一棵极其难养的并蒂莲。,亲自精心呵护,体质,130,莲花盛开之日，皇上封你为“并蒂妃”。,"圣宠+150;体质+30",花未开就死了，寓意不祥。,"声望-80",请皇上共同浇水,心机,125,两人在池边戏水，情趣横生。,"圣宠+100;心机+30",皇上被泥水溅了一身。,"圣宠-40",1
4169,博弈,太后寿辰,你要准备一份足以压倒皇后的礼物。,奉上亲手绣的百寿经,体质,140,太后大悦，当众赏你凤钗。,"声望+200;圣宠+100",你眼睛累坏了，礼物也没绣完。,"容貌-50",奉上寻来的前朝玉佛,心机,145,太后将其视为珍宝，对你信任有加。,"声望+250;心机+80",玉佛被指是伪造的。,"死亡",0
4170,死局,谋逆迷踪,你在御花园发现了一封涉及外戚谋反的密信。,立刻呈交给皇上,声望,150,你不仅保住了自己，还成了家族英雄。,"声望+500;圣宠+200",信在路上被人抢走了。,"死亡",私下焚烧证据,心机,140,你避开了政治漩涡，平安无事。,"心机+100",被路过的嫔妃看到，举报你毁证。,"死亡",0
4171,机遇,圣驾共浴,皇上邀请你去华清池共浴。,展示绝美身材和水舞,容貌,150,皇上被你迷得神魂颠倒，许你任何愿望。,"圣宠+500;容貌+50",你在池边滑倒，摔断了腿。,"体质-100",在池边温柔按摩,体质,135,皇上感到前所未有的放松。,"圣宠+150;体质-20",皇上嫌你碍手碍脚。,"圣宠-50",1
4172,日常,整理内务,你发现皇后宫中的账目有巨大漏洞。,私下提醒皇后,心机,145,皇后欠了你一个大人情，对你百依百顺。,"心机+150;声望+100",皇后觉得你在威胁她，反手灭口。,"死亡",直接呈报给皇上,声望,140,皇上命你接替皇后管理六宫。,"声望+400;圣宠+200",皇上觉得你心机太重。,"死亡",0
4173,机遇,皇帝围猎,皇上带你去塞外围猎，命你射一只兔子。,一箭双雕惊艳全场,体质,140,皇上赞你是不让须眉的巾帼。,"圣宠+200;体质+50",你差点射中皇上的马。,"死亡",温柔为皇上递箭,容貌,130,皇上觉得你温婉动人。,"圣宠+100;容貌+20",你被风沙吹伤了皮肤。,"容貌-30",1
4174,日常,练习歌技,你在练习一首高难度的昆曲。,唱出绕梁三日的绝调,才情,150,皇上听得如痴如醉，封你为“歌妃”。,"圣宠+200;才情+100",你嗓子突然哑了。,"体质-40",拉皇上共同合唱,心机,125,皇上玩得非常开心。,"圣宠+120;心机+50",皇上觉得自己失了威严。,"圣宠-40",1
4175,博弈,位分之争,一名死对头被封为贵妃，位在你之上。,谦卑请安寻求合作,心机,145,你成功麻痹了对手，掌握其命脉。,"心机+150;声望+80",对方当众羞辱你，你颜面扫地。,"声望-150",不卑不亢做好分内事,声望,140,皇上觉得你更稳重，反而更宠你。,"圣宠+150;声望+100",你被边缘化，门可罗雀。,"声望-100",0
4176,日常,研磨香料,你尝试复原传说中的“贵妃醉酒香”。,亲自试香效果极佳,容貌,145,皇上闻香而至，一刻也不离你。,"圣宠+200;容貌+30",香里有毒，你容颜尽毁。,"容貌-200",献给皇上缓解头痛,心机,135,皇上赞你贴心。,"圣宠+100;心机+50",皇上闻后晕厥。,"死亡",1
4177,机遇,边疆大捷,皇上大喜，在偏殿与你独饮庆功。,陪皇上不醉不归,体质,145,皇上赞你真性情，抱你入怀。,"圣宠+200;体质-20",你喝醉了说出不该说的话。,"死亡",跳一曲祝捷舞,容貌,140,皇上心花怒放，重赏你。,"圣宠+150;容貌+50",你滑倒在酒渍里。,"声望-50",1
4178,死局,巫蛊疑云,有人在你宫中搜出了诅咒皇后的木偶。,指出木偶材质并非你所有,心机,150,你冷静分析，抓住了栽赃的小人。,"心机+200;声望+100",皇上在怒头上，不听解释。,"死亡",以死明志撞柱子,体质,140,你血溅当场，皇上惊觉冤枉了你。,"圣宠+500;体质-80",你直接撞死了。,"死亡",0
4179,日常,种植牡丹,你在园中种出一朵蓝色的奇花。,请皇上命名,才情,140,皇上赐名“惜妃花”，传为佳话。,"圣宠+120;才情+50",皇上觉得你玩物丧志。,"圣宠-40",献给皇后庆生,声望,135,皇后大喜，赐你锦缎百匹。,"声望+150;心机+30",花在半路枯萎。,"声望-50",0
4180,机遇,皇帝临幸,皇上感念你多年的情分，想给你最高的荣耀。,请求封你家族为公侯,声望,155,你全族荣耀，你成为后宫第一人。,"声望+1000;圣宠+200",皇上嫌你家势太大，动了杀心。,"死亡",请求与皇上白头偕老,容貌,150,皇上感动落泪，册封你为皇贵妃。,"圣宠+1500;容貌+50",皇上觉得你太天真。,"圣宠-100",1
4181,日常,研制胭脂,你调制出一种能让肌肤如玉的秘方。,自己使用容光焕发,容貌,145,皇上见你如见初见，爱不释手。,"容貌+100;圣宠+100",你皮肤过敏。,"容貌-80",卖给宫中嫔妃赚人情,心机,130,你成了后宫的意见领袖。,"心机+100;声望+100",被指控非法经营。,"声望-50",0
4182,机遇,春日游湖,你在湖中心为皇上抚琴。,琴声引来百鸟环绕,才情,145,皇上称你是“天降仙妃”。,"圣宠+200;才情+80",琴弦断了，琴师说是不详。,"声望-100",跳入水中采荷花,体质,135,你如出水芙蓉，皇上心疼不已。,"圣宠+150;体质-30",你差点淹死。,"死亡",1
4183,博弈,后宫权力,皇上要在你和另一名妃子中选一个协理六宫。,展示你的铁血手段,心机,150,皇上觉得你更能稳住后宫。,"心机+200;声望+100",皇上觉得你太狠毒。,"死亡",展示你的仁慈名望,声望,145,众人皆推举你，名副其实。,"声望+300;圣宠+100",皇上觉得你是个软柿子。,"圣宠-50",0
4184,日常,练习书法,你正在写一封家书被皇上撞见。,请皇上代笔润色,才情,140,皇上欣然提笔，你家宠信倍增。,"圣宠+150;才情+50",皇上发现你家书里有禁语。,"死亡",赶紧收起撒娇,容貌,135,皇上觉得你调皮可爱。,"圣宠+80;容貌+20",皇上觉得你有秘密瞒着他。,"圣宠-60",1
4185,机遇,皇帝噩梦,皇上梦见山河破碎，惊醒后要你陪他去巡视。,连夜骑马陪同,体质,145,皇上觉得你才是他的知己。,"圣宠+300;体质-50",你半路累得掉队了。,"圣宠-50",在车中彻夜长谈,才情,140,你成功疏解了皇上的心结。,"圣宠+200;才情+80",皇上觉得你啰嗦。,"圣宠-30",1
4186,日常,整理旧画,你发现一张皇上幼年的画像。,精心装裱并加入你的画像,心机,145,皇上感念这跨越时空的缘分。,"圣宠+180;心机+50",皇上觉得你太刻意。,"圣宠-40",请皇上共同修补,才情,140,两人共度了一个温馨的午后。,"圣宠+100;才情+40",你把画弄花了。,"死亡",1
4187,博弈,宴会夺宝,皇上拿出一对血珊瑚，让众人赋诗夺宝。,一诗震乾坤,才情,150,你不仅赢了宝物，还赢了皇后的心。,"声望+300;才情+100",你写得词不达意。,"声望-50",以柔克刚博君怜,容貌,140,皇上私下把更好的给了你。,"圣宠+200;容貌+50",皇上觉得你太没骨气。,"圣宠-30",1
4188,死局,皇帝突发心疾,皇上突然倒地，周围只有你在场。,冷静施救并召太医,心机,150,你救驾有功，封为皇贵妃。,"圣宠+1000;声望+500",皇上没救回来，你被指控杀人。,"死亡",用身体挡住闲杂人等,声望,145,你保全了皇帝的体面，皇上醒后重赏。,"声望+300;圣宠+200",被乱军踩踏。,"死亡",1
4189,日常,种植牡丹,你在园中种出一朵墨牡丹。,献给太后镇宅,声望,150,太后大悦，封你家族为世袭。,"声望+500;心机+100",花在寿宴上谢了。,"死亡",请皇上共同赏玩,容貌,140,皇上赞你不仅人美，花也奇。,"圣宠+150;容貌+40",皇上对这颜色不感冒。,"圣宠-20",1
4190,结局前奏,皇帝封后,皇上想立你为后，但朝臣反对。,以过往功绩和名望回击,声望,160,你正式登上皇后宝座。,"圣宠+1000;声望+2000",你被逼自尽。,"死亡",以退为进只做皇贵妃,心机,155,皇上心生愧疚，对你宠冠六宫。,"圣宠+1500;心机+300",皇上真的立了别人。,"声望-500",1
