剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
2011,机遇,皇子满月,今日是皇长子满月礼，你虽位分低，也要准备贺礼。,送上手绘百子图,才情,70,皇上赞你心思巧妙，亲切与你交谈。,"才情+15;圣宠+25",画作被洒上污渍，大不敬。,"声望-30;圣宠-20",送上家传暖玉,声望,60,皇后觉得你知书达理，很是满意。,"声望+20;心机+5",被指责礼物卑微，丢了面子。,"声望-15",0
2012,博弈,巫蛊流言,宫中流传有小主用巫蛊害人，火烧到了你身上。,主动请旨搜查,心机,75,你坦荡的做法赢得了皇上的信任。,"心机+20;圣宠+15",搜查中被翻出假证据，你百口莫辩。,"死亡",买通搜查太监,心机,80,你成功将证据处理掉。,"心机+30",太监反水告发你行贿。,"死亡",0
2013,日常,宫中刺绣,皇后寿辰将至，众嫔妃都在准备贺礼。,绣万寿无疆图,才情,65,你的手艺让皇后非常受用。,"声望+25;才情+10",你因日夜赶工，容貌变得憔悴。,"容貌-15;体质-10",寻找珍稀丝绸,心机,60,你送的料子极为罕见，独占鳌头。,"心机+15;声望+20",料子被换成次品，你在寿宴丢丑。,"声望-30",0
2014,机遇,月下谈心,你在深夜散步遇见忧心战事的皇上。,温婉劝解陪伴,心机,70,皇上心情转好，觉得你是解语花。,"圣宠+45;心机+10",皇上觉得你妇人之见，让你闭嘴。,"圣宠-20",讲述民间趣事,才情,60,皇上被你逗笑，暂忘烦恼。,"才情+15;圣宠+35",皇上觉得你言辞粗鄙。,"声望-15",1
2015,博弈,嫔妃投毒,你发现每日喝的燕窝里被下了微量的毒药。,将计就计装病,心机,80,皇上大怒严查，你获得丰厚补偿。,"心机+30;圣宠+40",对方发现你在演戏，直接下了猛药。,"体质-50;死亡",当场拆穿凶手,声望,75,由于证据不足，你反而被控诬陷。,"声望-40;圣宠-20",你成功指认凶手。,"声望+30;心机+10",0
2016,日常,宫中礼仪,太后突击检查各位答应的礼仪功底。,优雅展现宫仪,声望,65,太后夸你有名门风范。,"声望+20;圣宠+10",你因膝盖旧伤没跪稳，被罚抄经。,"体质-15;声望-10",献上亲手抄经,才情,65,太后见你心诚，赏了你一件法器。,"才情+15;心机+10",太后觉得你在投机取巧。,"声望-20",0
2017,机遇,春日游船,皇上在湖心岛赏景，你正好在岸边。,一舞惊鸿起跳,容貌,85,皇上在湖中心望见你，立刻命船接你。,"容貌+20;圣宠+50",你掉入湖中成了落汤鸡。,"容貌-20;体质-20",悠扬笛声吸引,才情,75,皇上循声而来，与你湖边漫步。,"才情+20;圣宠+35",笛子吹破了音。,"圣宠-15",1
2018,死局,皇帝旧情,你长得酷似皇上曾经最爱但已故的妃子，皇上正盯着你发呆。,故意模仿其神态,心机,90,你成了宫中最得宠的替身。,"圣宠+80;声望+40",皇上觉得你亵渎故人，龙颜大怒。,"死亡",坦然做你自己,声望,80,皇上欣赏你的风骨。,"声望+30;圣宠+30",皇上觉得你毫无趣味，厌弃了你。,"圣宠-40",1
2019,日常,嫔妃拉拢,得宠的高位妃子想让你帮她陷害对手。,表面答应依附,心机,75,你得到了她的庇护。,"心机+20;声望+10",你被她当成替罪羊抛弃。,"声望-40;体质-30",委婉拒绝两立,声望,70,你保住了名声，但也遭到了报复。,"声望+20;心机-10",你被她处处针对。,"体质-20;声望-10",0
2020,机遇,皇上微服,皇上穿便服私下巡视，你正在照顾生病的宫女。,悉心照顾显善良,声望,65,皇上赞你心肠慈悲，对你大加赞赏。,"圣宠+40;声望+20",皇上觉得你身为妃嫔不顾身份。,"圣宠-20",分享简易膳食,才情,60,皇上觉得新鲜有趣，吃得很开心。,"才情+15;圣宠+30",皇上吃得闹肚子，你受了罚。,"圣宠-50;体质-20",1
2021,机遇,池畔垂钓,皇上今日在太液池边独自垂钓，神情专注。,上前献上香饵,心机,65,你准备的秘制香饵让皇上连连起鱼。,"圣宠+35;心机+10",皇上嫌你惊扰了鱼群，败了兴致。,"圣宠-15",安静坐下陪同,体质,60,两人静坐无言，却有一种难得的默契。,"圣宠+25;体质+5",你坐得腰酸背痛，忍不住打了个喷嚏。,"圣宠-10",1
2022,博弈,新茶之争,今年最好的明前茶被内务府优先送到了你宫里，引来侧目。,分送给众姐妹,声望,75,你表现得慷慨大方，博得了美名。,"声望+30;心机+10",别人觉得你在炫耀，反而更加嫉恨。,"声望-20",独自关门品尝,体质,50,茶确实是好茶，你心情舒畅。,"体质+15",内务府被告发中饱私囊，你被牵连。,"声望-25",0
2023,日常,宫墙涂鸦,你在偏僻宫墙发现有人刻下忧伤的诗句。,续写后半段诗,才情,80,你的诗才惊艳了后来经过的皇上。,"才情+30;圣宠+40",你的诗句平庸，被人讥笑附庸风雅。,"声望-15",默默将其抹去,心机,65,你避免了一场可能发生的文字狱。,"心机+20",你被当成破坏遗迹的罪魁祸首。,"声望-15",0
2024,机遇,月夜惊梦,深夜你被噩梦惊醒，发现窗外有人影闪过。,大声呼唤守卫,声望,60,虽然只是虚惊一场，但皇上怜你受惊特来慰问。,"声望+10;圣宠+20",众人觉得你大惊小怪，扰人清梦。,"声望-20",出门查看究竟,心机,75,你发现是只野猫，还意外捡到一块玉佩。,"心机+25",你撞见了不该看的私会，险些被灭口。,"死亡",0
2025,博弈,寿礼被毁,你为主子亲手绣的屏风在送出前被水打湿了。,通宵修改成新花样,才情,85,你巧妙化水渍为烟云，惊艳全场。,"才情+35;声望+20",由于过度疲劳，你在寿宴上晕倒。,"体质-30",据实已告请罪,声望,70,你的诚实打动了主子，免于处罚。,"声望+15",你被当众斥责办事不力。,"声望-25",0
2026,日常,临摹古帖,你在内书房发现一本前朝珍本。,废寝忘食研读,才情,75,你的才名远播，连太后都听说了。,"才情+25;声望+15",你因用眼过度，神情变得憔悴。,"容貌-10;体质-10",拓印一份私藏,心机,70,你掌握了前朝的秘密。,"心机+30",你被指控私盗御书。,"死亡",0
2027,机遇,御花园救驾,皇上在园中散步，一条毒蛇突然从树上垂下。,用帕子将其挥开,体质,75,你动作敏捷救了皇上，成了救命恩人。,"圣宠+60;体质+10",你被蛇咬伤，险些丧命。,"体质-50;容貌-10",挡在皇面前,声望,80,你的忠诚让皇上深受震撼，当场晋升。,"圣宠+100;声望+50",你吓得瘫软在地，皇上被蛇惊到。,"圣宠-40",1
2028,博弈,嫔妃生辰,今日是你位分较高的对手生辰，对方邀你去贺寿。,送上亲制点心,心机,65,点心深得皇上喜爱，你借机获宠。,"心机+15;圣宠+30",对方污蔑你在点心里下药。,"死亡",准备普通贺礼,声望,60,你平稳过关，未出差错。,"声望+10",对方觉得你看不起她，当众羞辱。,"声望-20",0
2029,日常,冷宫旧闻,一个老嬷嬷神神秘秘地告诉你，某处枯井藏着宝藏。,带人前去发掘,声望,70,你挖出了前朝遗珠献给圣上。,"圣宠+50;声望+30",你只挖出了一堆晦气的死人骨头。,"声望-40",置之不理不信,心机,60,你躲过了一个诱杀宫妃的陷阱。,"心机+20",你被嬷嬷缠上，被讹了不少银子。,"心机-15",0
2030,机遇,御马受惊,皇上的御马在大校场受惊，你正好在看台上。,掷出手中丝巾,心机,75,丝巾蒙住了马眼，危机解除。,"心机+25;圣宠+40",丝巾飘走，马更加受惊了。,"圣宠-30",高声呼救吸引,声望,65,侍卫及时赶到，你亦有功劳。,"声望+20",你因喧哗被治了惊扰圣驾之罪。,"体质-20",0
2031,日常,练习歌舞,你在偏殿练习失传已久的霓裳羽衣舞。,追求极致难度,体质,85,你一舞成名，皇上称你为洛神下凡。,"容貌+20;圣宠+60",你扭伤了腰，恐怕半年不能下床。,"体质-50;圣宠-10",改编成柔和版,才情,70,虽不惊艳，但胜在温婉动人。,"才情+15;圣宠+20",皇上觉得你跳得软绵无力。,"圣宠-15",1
2032,死局,皇帝暴怒,皇上因边疆战报不利，在寝宫大砸瓷器。,温柔上前按抚,心机,95,你用柔情平息了帝王之怒，宠冠六宫。,"圣宠+100;心机+20",皇上正愁没处发火，你成了替罪羊。,"死亡",跪在殿外守候,体质,80,皇上出殿见你守了一夜，心生怜惜。,"圣宠+40;体质-20",你受了寒，皇上也没理你。,"体质-30",1
2033,博弈,名分之争,一个新入宫的常在处处显摆家世，压你一头。,展现博学多才,才情,80,皇上称赞你有大家闺秀之风。,"才情+30;声望+20",对方讥讽你不过是个掉书袋的。,"声望-15",利用计谋离间,心机,85,你让她在皇上面前失了仪态。,"心机+40;圣宠+10",计谋被识破，皇上厌弃了你。,"圣宠-50",0
2034,机遇,夏日赏荷,皇上在荷花池边设宴，由于太热众人都有些疲倦。,献上自制冰饮,心机,70,皇上吃后神清气爽，对你大加赞赏。,"圣宠+35;心机+15",皇上肠胃不适，你被告发。,"体质-30;圣宠-40",即兴赋诗助兴,才情,85,你的诗才让这满池荷花都失了色彩。,"才情+40;圣宠+50",你因紧张背错了韵脚，闹了笑话。,"声望-20",0
2035,日常,深夜读史,你在孤灯下读前朝兴亡录。,感悟治国之道,才情,90,你与皇上论政，皇上引你为红颜知己。,"才情+50;圣宠+60",皇上觉得你野心太大。,"圣宠-40",纯属消磨时间,体质,50,你身体得到了休息。,"体质+10",你被管事指责浪费灯油。,"声望-10",0
2036,博弈,御膳房克扣,今日送来的饭菜竟然是馊的。,直接拿去御书房,声望,80,你闹大了事情，皇上亲自为你出头。,"圣宠+40;声望+30",皇上觉得你为了点小事惊扰圣驾。,"圣宠-30",忍气吞声吃下,心机,65,你记录下了对方的把柄。,"心机+25",你上吐下泻，病了半个月。,"体质-35",0
2037,机遇,西域贡品,西域进贡了一只罕见的孔雀，皇上邀你共赏。,为其编造传说,才情,75,皇上听得入神，觉得你见多识广。,"才情+20;圣宠+30",传说漏洞百出，被皇上识破。,"圣宠-15",精心为其喂食,心机,65,你表现得温柔有爱。,"容貌+10;圣宠+20",孔雀啄伤了你，血溅当场。,"容貌-20;圣宠-20",0
2038,死局,谋逆密信,你在回宫路上捡到一封写着反诗的信件。,立刻烧毁无踪,心机,90,你躲过了一场灭顶之灾。,"心机+40",火光引来了侍卫，你被当场抓住。,"死亡",冒死呈给皇上,声望,95,你立下大功，被直接封为贵人。,"圣宠+150;声望+100",你在路上被反贼的眼线杀害。,"死亡",0
2039,日常,种植药材,你在宫中小径种了一些强身健体的草药。,精心培育采摘,体质,70,你的体质大幅提升。,"体质+30;心机+5",草药被杂草绞杀，功亏一篑。,"体质-10",偷偷磨成药粉,心机,75,你拥有了保命的良药。,"心机+30",被发现私自制药，指控你害人。,"死亡",0
2040,机遇,皇上微恙,皇上偶感风寒，拒绝见任何人。,熬制秘传汤药,心机,80,皇上喝了药果然好转，赞你用心。,"圣宠+60;心机+15",药不对症，皇上病情加重。,"死亡",在殿外跪求见,声望,75,你的赤诚打动了皇上，破例见你。,"圣宠+40;声望+20",皇上觉得你烦人，让你滚远点。,"圣宠-30",1
2041,博弈,姐妹反目,曾一起入宫的闺蜜为了争宠，故意在皇上面前揭你短。,淡定从容反击,心机,85,你巧妙揭穿了她的谎言。,"心机+30;声望+20",你气得说不出话，皇上觉得你心虚。,"圣宠-40",委屈落泪离去,容貌,75,皇上被你哭得心碎，反而去安慰你。,"圣宠+50;容貌+10",皇上觉得你矫情，不如她爽利。,"圣宠-30",1
2042,日常,雨中赏梅,大雨连绵，你在廊下看着被打落的梅花。,亲手收集落梅,才情,75,你将其制成香囊送给皇上，皇上大悦。,"才情+20;圣宠+30",你淋了雨，发了一场高烧。,"体质-25",感慨人生无常,心机,65,你练就了波澜不惊的心态。,"心机+20",你被指责多愁善感，晦气。,"声望-15",0
2043,机遇,大漠孤烟,皇上想听你讲讲塞外的风光。,描述得绘声绘色,才情,85,皇上赞你见识不凡，封你为知己。,"才情+30;圣宠+40",你牛头不对马嘴，皇上大感失望。,"圣宠-20",表示心向往之,容貌,70,皇上怜你被困深宫，加倍宠你。,"容貌+15;圣宠+30",皇上觉得你不安本分。,"圣宠-15",1
2044,日常,练习书法,你在练习王羲之的字体。,苦练多年终有成,才情,90,你的字迹与皇上简直如出一辙。,"才情+50;声望+30",你写得手抖心乱。,"才情-10",寻求皇上指点,圣宠,60,皇上手把手教你，暧昧丛生。,"圣宠+50;体质-10",皇上觉得你基础太差，不想教。,"圣宠-20",1
2045,死局,毒酒试菜,皇上突然要你试吃桌上的每一道菜。,毫无畏惧吃下,体质,95,菜中无毒，皇上赞你赤胆忠心。,"圣宠+80;声望+40",菜中有毒，你当场毙命。,"死亡",婉言谢绝圣恩,心机,90,你通过智慧察觉到皇上在试探。,"心机+40;圣宠+20",皇上觉得你贪生怕死，当场赐死。,"死亡",0
2046,机遇,皇子哭闹,小皇子一直哭个不停，奶妈们都没办法。,温柔唱起歌谣,才情,75,皇子在你怀里安静睡去。,"圣宠+50;声望+30",皇子哭得更凶了，皇后大怒。,"圣宠-40",展示新奇小玩艺,心机,70,皇子被吸引，止住了哭声。,"心机+20;圣宠+30",皇子吞下小件险些噎住。,"死亡",0
2047,博弈,被诬私通,有人在你的寝宫搜出了一根男人的腰带。,指认是他人栽赃,心机,95,你冷静应对，抓住了真凶。,"心机+50;声望+30",由于证据确凿，皇上不听解释。,"死亡",自请去宗人府,声望,85,你以死自证清白，皇上心软。,"圣宠+40;声望+20",你在宗人府受尽屈辱而死。,"死亡",0
2048,机遇,圣驾临门,皇上突然造访，而你还没来得及更衣。,素颜上前接驾,容貌,85,皇上赞你清水出芙蓉。,"圣宠+50;容貌+20",皇上觉得你邋遢，没个妃嫔样子。,"圣宠-30",隔着帘子对话,心机,80,皇上觉得你神秘有趣。,"心机+30;圣宠+40",皇上觉得你摆谱。,"圣宠-20",1
2049,日常,整理库房,你在库房深处发现一件被封存的霓裳。,偷偷试穿起舞,容貌,90,皇上推门而入，如见天人。,"容貌+30;圣宠+80",你被指责私动御物，大不敬。,"声望-50",将其重新密封,心机,80,你避免了被卷入旧事的纠纷。,"心机+30",你被灰尘呛得满脸通红。,"容貌-10",0
2050,机遇,皇帝生辰,皇上大寿，要你献上一份特别的礼物。,亲手缝制龙袍,体质,85,皇上赞你用心，穿上后英姿飒爽。,"体质-20;圣宠+70",你因劳累过度把龙爪绣错了。,"死亡",献上万寿无疆舞,容貌,90,你成了全宫最亮眼的存在。,"容貌+40;圣宠+100",你在跳舞时扭伤了脚，狼狈不堪。,"圣宠-50;声望-30",1
2051,博弈,被诬诅咒,有人在你宫门前的树下挖出了写有太后名讳的木偶。,主动请求封宫调查,心机,85,你坦荡的态度让皇上察觉异样，抓到了埋伏的真凶。,"心机+30;声望+20",真凶早已准备好伪证，你被直接废位。,"死亡",以死自证清白,声望,80,你撞柱未死，额上的伤痕成了皇上永久的怜惜。,"圣宠+60;容貌-15",皇上觉得你畏罪自杀，下令暴尸。,"死亡",0
2052,日常,雪地寒梅,寒冬腊月，你见御花园红梅开得极好，正欲采撷。,吟诵前朝梅花赋,才情,75,路过的皇上被你的才情吸引，与你雪中漫步。,"才情+20;圣宠+35",你记错了词句，引来旁人讥笑。,"声望-15",剪下梅花插瓶,容貌,70,皇上见你人比花娇，折下一枝亲手为你戴上。,"容貌+10;圣宠+25",你被梅枝划破了手，好不狼狈。,"体质-10",1
2053,机遇,圣驾微服,皇上穿了一身普通侍卫的衣服在御花园游荡，你正好撞见。,装作不知配合演出,心机,80,皇上玩心大起，觉得你是这宫里唯一的妙人。,"心机+25;圣宠+50",你演技拙劣，皇上觉得你在戏弄他。,"圣宠-20",立刻下跪行礼,声望,65,皇上赞你守规矩，是个本分的。,"声望+15;圣宠+10",皇上觉得你无趣，扫了兴致。,"声望-10",0
2054,日常,练习琵琶,你在月下苦练琵琶，琴声幽咽。,弹出塞外杀伐气,才情,85,皇上听出了你的志气，引你为红颜知己。,"才情+30;圣宠+45",你弹得杂乱无章，惊扰了宫中安宁。,"声望-20",加入轻柔小调,容貌,75,皇上循声而来，赞你温柔婉约。,"容貌+5;圣宠+30",琴弦突然断裂。,"体质-5",1
2055,博弈,内务府克扣,今年的冬衣送来时，领子上的毛皮竟是碎布拼凑的。,重礼贿赂总管,心机,70,对方补送了一件雪狐裘，还成了你的眼线。,"心机+20;声望+10",你的首饰被吞，东西还是没换。,"心机-15",当面斥责内务府,声望,75,对方被你气势所震，暂时收敛。,"声望+20",你被内务府怀恨在心，处处受限。,"声望-30",0
2056,机遇,皇子落水,你在太液池边散步，忽见一名幼子落水，周围并无侍卫。,奋不顾身入水救人,体质,80,你救下了皇长子，成了后宫的大功臣。,"圣宠+100;声望+80",你体力不支，险些与皇子一同溺毙。,"体质-50;声望-20",高声呼救引人,心机,65,侍卫及时赶到救下皇子，你也受了封赏。,"圣宠+30;声望+20",你呼喊太迟，皇子受惊过度，你被责罚。,"声望-50",0
2057,死局,谋逆密信,你在御书房整理文书时，意外看到了一封勾结藩王的密信。,偷偷藏入袖中,心机,90,你掌握了足以威胁重臣的把柄。,"心机+50",你被暗处把守的影卫发现。,"死亡",立刻焚烧毁灭,声望,75,你保住了性命，也保住了皇上的秘密。,"心机+25",你被闻味而来的禁卫军抓住。,"死亡",0
2058,日常,研制胭脂,你试图用宫中的花瓣研制独一无二的妆粉。,加入西域香料,心机,75,妆粉带有奇香，让皇上对你欲罢不能。,"容貌+20;圣宠+40",香料过敏，你脸上长满了红疹。,"容貌-30;体质-10",送给位高妃子,声望,70,你成功攀附上了高位，得了庇护。,"声望+25;心机+10",对方觉得你在毁她容貌。,"声望-40;死亡",0
2059,日常,御花园迷路,你在园中迷失，误入了一处废弃已久的宫殿。,仔细探寻出口,心机,65,你意外发现了前朝留下的珍宝。,"心机+20",你在里面绕了半天，错过点名被罚。,"体质-15",坐下休息等待,体质,50,你保存了体力，最后被侍卫发现。,"体质+10",你被当成私通的宫女抓住。,"声望-30",0
2060,机遇,圣上病重,皇上近日缠绵病榻，谁也不见，你在殿外守了一夜。,深夜吹箫抚慰,才情,85,凄婉的箫声让皇上心中宽慰，传你入内。,"圣宠+60;才情+20",皇上嫌箫声太吵，加重了头疼。,"圣宠-40",亲手熬制姜汤,体质,75,皇上喝了你守了一夜的汤，倍感温暖。,"圣宠+45;体质-20",汤药被太医指责成分不对。,"声望-30",1
2061,博弈,姐妹嫌隙,同位分的一名答应在皇上面前故意提起你家中的丑闻。,淡定微笑回应,心机,85,你巧妙避重就轻，化解了尴尬。,"心机+30;声望+15",你气得发抖，皇上觉得你心虚。,"圣宠-30",当场反唇相讥,声望,75,你揭发了她更多的丑事，两人同受罚。,"声望-20;体质-10",对方被皇上厌弃。,"声望+20",0
2062,日常,雨中取书,你在去藏书楼的路上被大雨困住。,拼死护住古籍,才情,70,书未湿，你却淋了一身，皇上怜之。,"才情+10;圣宠+25",书全毁了，你被勒令赔偿。,"声望-30;体质-10",躲入亭中避雨,心机,60,你保护了自己，但也耽误了事。,"体质+5",你被指责办事不力。,"声望-15",0
2063,机遇,大漠胡旋,西域进贡了胡旋舞姬，皇上问你可否一试。,即兴起舞博君笑,容貌,85,你的舞姿比舞姬更灵动，皇上大喜。,"容貌+30;圣宠+60",你扭到了脚，狼狈倒地。,"容貌-10;体质-20",点评舞姿优劣,才情,80,你点评得极具深度，皇上引你为知音。,"才情+25;圣宠+20",皇上觉得你只会纸上谈兵。,"圣宠-10",1
2064,日常,抄写经书,太后命你抄写《金刚经》一百遍。,字迹端正工整,才情,75,太后夸你心诚，赏了你一对玉镯。,"才情+20;声望+15",你写到最后手抖，坏了整篇。,"才情-10;体质-10",寻求皇上润色,心机,80,皇上亲自为你落款，面子十足。,"圣宠+40;心机+15",皇上觉得你这点事也要烦他。,"圣宠-20",0
2065,博弈,被诬私通,你的寝宫被翻出一张男人的手帕。,冷静分析来源,心机,90,你通过帕上的香味抓住了栽赃的小人。,"心机+40;声望+30",证据确凿，你被直接打入冷宫。,"死亡",指认是对方之物,声望,80,由于你平日声望高，众人信了你。,"声望+30;心机+10",被指控诬陷，罪加一等。,"死亡",0
2066,机遇,圣驾赏花,皇上在园中赏牡丹，命众人作诗。,以牡丹自喻志向,才情,90,皇上赞你有国色之风。,"才情+40;圣宠+60",皇上觉得你野心勃勃。,"圣宠-30",赞美圣上功德,声望,70,皇上被捧得心花怒放。,"声望+20;圣宠+25",皇上觉得你只会阿谀奉承。,"声望-15",1
2067,日常,猫惊御驾,皇上的御猫突然受惊冲向你。,温柔安抚猫儿,心机,75,猫儿在你怀中安静下来，皇上大悦。,"心机+20;圣宠+35",猫儿抓伤了你的脸。,"容貌-40;体质-10",惊慌失措躲避,体质,60,你躲开了，猫儿冲向了皇上。,"声望-30",猫儿抓伤了圣上，你被处死。,"死亡",0
2068,死局,皇帝噩梦,皇上在半夜惊醒，拔剑乱挥，以为有刺客。,上前抱住皇上,体质,90,你的体温安抚了皇上，成了他的依赖。,"圣宠+100;体质-10",你被皇上误伤，失血过多。,"死亡",高声呼喊侍卫,心机,80,侍卫进门救驾，你亦平安。,"声望+20",皇上觉得你让他丢了面子。,"死亡",1
2069,日常,整理旧画,你在整理内库时，发现了一张皇上早年的丹青。,精心装裱献上,才情,80,皇上怀念往事，对你倍加宠爱。,"才情+20;圣宠+45",你弄坏了画轴。,"声望-30;体质-10",当做没看见收起,心机,70,你避免了被卷入旧事的麻烦。,"心机+20",你被灰尘呛得生了病。,"体质-10",0
2070,机遇,春日游船,你在湖边看风景，皇上的龙舟正好经过。,一曲长笛引龙舟,才情,85,皇上命人靠岸接你上船共游。,"才情+30;圣宠+50",你笛声凄厉，惊了圣驾。,"圣宠-30",跳入水中救人,体质,90,你救下了失足落水的太监，皇上赞你仁慈。,"声望+50;圣宠+30",你险些把自己淹死。,"体质-50;容貌-10",1
2071,博弈,新人入宫,一批更年轻的秀女入宫，抢走了不少风头。,传授宫中规矩,声望,75,你树立了威信，成了她们的领头。,"声望+30;心机+10",新人觉得你摆谱，联手排挤你。,"声望-20",暗中挑拨离间,心机,85,她们内部争斗，你坐收渔利。,"心机+40",计谋被识破，被皇上厌恶。,"圣宠-50",0
2072,日常,缝制龙袍,皇上命你为其缝制贴身的一件中衣。,绣上太极图案,才情,80,皇上赞你心思细腻，利于修行。,"才情+25;圣宠+40",你因劳累过度，视力受损。,"容貌-10;体质-10",快速保质完成,体质,70,皇上穿着舒适，赏了你不少钱。,"体质+10;声望+20",中衣领子太紧，皇上不悦。,"圣宠-20",0
2073,机遇,深夜密谈,皇上找你商量如何应对贪腐的重臣。,提供家乡传闻,心机,90,你的情报让皇上成功破案。,"心机+50;圣宠+70",情报有误，导致皇上受挫。,"死亡",劝圣上保重龙体,声望,75,皇上觉得你很窝心。,"声望+20;圣宠+30",皇上觉得你没有见识。,"声望-20",1
2074,日常,御花园观星,你在夜里观测星象，正好撞见皇上。,讲述星象吉凶,才情,85,皇上赞你有经天纬地之才。,"才情+40;圣宠+50",你言语不详，皇上觉得你故弄玄虚。,"圣宠-20",陪皇上静静看星,容貌,75,皇上被你的侧脸吸引。,"容貌+15;圣宠+35",你被蚊虫叮了一脸包。,"容貌-10",1
2075,博弈,内廷宴会,宴会上高位妃子故意让你上台助兴表演。,献上一段剑舞,体质,85,你英姿飒爽，皇上看得目不转睛。,"体质+20;圣宠+60",你长剑脱手，险些刺中圣驾。,"死亡",称病推托不去,心机,80,你躲开了被羞辱的尴尬。,"心机+25",对方在酒里下药让你当众失态。,"死亡",0
