剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
5232,机遇,皇帝赏雪,大雪纷飞，皇上邀你在梅林煮酒。,踏雪寻梅作诗对仗,才情,155,你与皇上文思敏捷。,"才情+15;圣宠+10",诗句平平，毫无意趣。,"才情-10",雪中翩翩起舞,容貌,150,你如梅花精魂。,"圣宠+20;容貌+10",在雪中滑倒摔伤。,"体质-30",1
5233,博弈,嫔妃投诚,一名受宠的答应想寻求你的庇护。,收入麾下严加教导,心机,150,你获得了一个得力助手。,"心机+15;声望+10",对方是别人派来的死士。,"死亡",严词拒绝不参与争斗,声望,140,你保全了高洁的名声。,"声望+20",你被该答应怀恨在心。,"心机-20",0
5234,日常,整理内务,你发现宫中宫人有私相授受的行为。,按宫规杖责示众,声望,150,后宫纪律为之一振。,"声望+15;心机+5",被指责过于残暴。,"声望-20",私下警告并收买其心,心机,155,你掌握了更多宫中情报。,"心机+20",对方转头出卖了你。,"死亡",0
5235,机遇,深夜访谈,皇上提及年少时的雄心壮志，心生感慨。,以睿智言语给予支持,才情,160,皇上视你为唯一知己。,"圣宠+25;才情+10",你言语间冒犯了皇上的自尊。,"死亡",温柔依偎不言语,容貌,140,皇上感到无比放松。,"圣宠+15;容貌+5",皇上觉得你听不懂他的志向。,"圣宠-10",1
5236,日常,珍品修缮,一支御赐的玉簪不慎摔裂。,命人用金镶玉法修补,心机,145,修补后更有韵味。,"心机+10;声望+10",簪子被掉包成了假货。,"死亡",亲自用胶漆粘合,体质,135,皇上赞你珍惜情意。,"圣宠+10;体质-5",手艺太差，一眼看穿。,"圣宠-10",1
5237,博弈,外戚聚会,你的家族女性亲眷入宫探望。,叮嘱她们低调行事,声望,150,家族平安，皇上赞你懂分寸。,"声望+20;心机+10",亲眷在宫中闯祸。,"声望-30",展示贵妃威严让其敬畏,心机,155,家族成员不敢再随意打扰。,"心机+15",被指责对亲人冷酷无情。,"声望-20",0
5238,日常,插花艺术,你尝试用进贡的鲜花装点寝殿。,创造出孤傲清冷的风格,才情,145,皇上赞你品味独特。,"才情+10;圣宠+10",花材搭配凌乱。,"才情-10",送给皇后装点凤仪宫,声望,140,皇后称赞你懂礼数。,"声望+15;心机+5",皇后过敏，疑你下毒。,"死亡",0
5239,机遇,秋日围猎,你在猎场看台陪伴皇上。,为皇上包扎擦汗,体质,140,皇上倍感体贴。,"圣宠+15;体质+5",你晕血，反而要皇上照顾。,"圣宠-20",分析猎场阵型部署,心机,160,皇上赞你有将才之风。,"心机+20;圣宠+10",被指干预军机。,"死亡",1
5240,死局,御赐之物失窃,皇上赐你的定情信物不翼而飞。,不动声色布下诱饵,心机,165,你抓住了企图栽赃的幕后黑手。,"心机+25;声望+10",时间太久，没能找回。,"死亡",跪地向皇上请罪,声望,155,皇上怜你诚实，不予追究。,"圣宠+20;声望+5",皇上大怒你轻视真情。,"死亡",1
5241,日常,研习药理,你在学习如何通过香气调节睡眠。,调配出宁神静气的奇香,体质,145,皇上睡眠质量大增。,"圣宠+15;体质+10",香气导致皇上噩梦。,"圣宠-30",写下心得呈给太医署,才情,150,你被誉为博学妃子。,"才情+15;声望+10",被指擅自篡改药方。,"死亡",0
5242,机遇,雨夜温存,窗外雷雨交加，皇上留在你宫中。,讲述温馨的民间故事,才情,145,皇上听得如痴如醉。,"圣宠+15;才情+10",故事太凄凉，皇上更忧郁。,"圣宠-10",亲自下厨做夜宵,体质,135,暖了皇上的胃。,"圣宠+15;体质-10",夜宵没熟。,"体质-20",1
5243,博弈,宫务分担,皇上命你协理宫中布匹发放。,严控成本杜绝浪费,心机,155,内务府对你又敬又怕。,"心机+20;声望+10",底层宫人怨声载道。,"声望-20",额外关照年老宫人,声望,150,你赢得了仁厚美名。,"声望+20;心机+5",被指责散财买人心。,"死亡",0
5244,日常,御笔临摹,皇上让你临摹一幅他的墨宝。,融入你的神韵重新创作,才情,155,皇上称赞青出于蓝。,"才情+15;圣宠+10",画虎不成反类犬。,"才情-10",严格遵循原笔迹,心机,145,皇上赞你为人稳重。,"圣宠+10;心机+10",毫无灵气，皇上索然无味。,"圣宠-10",1
5245,机遇,冬日赏冰,皇上带你去冰场观看嬉戏。,即兴点评各人优劣,才情,150,皇上赞你目光敏锐。,"才情+15;圣宠+10",言辞偏颇，引起众怒。,"声望-20",亲自上阵滑冰一曲,容貌,155,你翩若惊鸿，婉若游龙。,"圣宠+20;容貌+10",重重摔倒，大失体面。,"容貌-30",1
5246,日常,宫中刺绣,你正在刺绣一幅屏风。,精雕细琢每一针,体质,140,作品被皇上收藏。,"圣宠+15;体质-5",眼睛受累视力下降。,"体质-20",指导年轻妃子绣工,声望,145,你展现了贵妃的风范。,"声望+15;心机+5",她们嫌你太严厉。,"声望-10",0
5247,博弈,宴席敬酒,在大型宴会上，你需代表后宫向皇上敬酒。,以大方得体的辞令敬酒,声望,160,展现了皇室的高贵。,"声望+20;圣宠+10",敬酒时洒了酒水在龙袍。,"死亡",以私密情切的眼神敬酒,容貌,150,皇上当众握住你的手。,"圣宠+20;容貌+10",皇上觉得你不够庄重。,"圣宠-20",1
5248,日常,书画收藏,你得到了一幅前朝真迹。,无私献给皇上收藏,声望,155,皇上赞你不夺人所好。,"圣宠+20;声望+10",被指是赝品。,"死亡",挂在宫中自行赏析,才情,145,提升了宫殿的雅致。,"才情+10",被指私藏国宝。,"声望-20",0
5249,机遇,深夜密谈,皇上提到想封你家族更高爵位。,以家族底蕴尚薄拒绝,心机,160,皇上赞你清醒，反而更重用你家。,"心机+20;圣宠+10",皇上觉得你不近人情。,"圣宠-10",顺势谢恩并承诺忠心,声望,155,家族荣耀，你地位更稳。,"声望+20;圣宠+15",被言官集体上书弹劾。,"死亡",1
5250,巅峰日常,贵妃风仪,你已经在贵妃位稳坐多年，举手投足尽是威严。,在朝拜中展现仪态,容貌,160,你成为了后宫的活招牌。,"容貌+15;声望+15",被指逾越皇后之礼。,"死亡",平和处理宫中琐事,心机,155,后宫因你而安宁。,"心机+20;声望+10",被指平庸无为。,"声望-10",1
5251,日常,宫中消暑,盛夏酷暑，你负责调配各宫消暑的冰块份额。,优先供给年长体弱者,声望,155,你因仁爱被宫中老者齐声称赞。,"声望+15;心机+5",受宠新人抱怨你厚此薄彼。,"声望-15",按宠爱程度暗中分配,心机,160,你拉拢了得宠势力，稳固了地位。,"心机+15;圣宠+10",被弹劾坏了老祖宗规矩。,"死亡",0
5252,博弈,后辈僭越,一名受宠的新嫔穿了只有贵妃能用的明黄色丝绸。,当众训诫并罚俸,声望,160,你维护了宫廷等级，无人敢置喙。,"声望+20;心机+5",皇上觉得你心胸狭隘容不下人。,"圣宠-25",装作没看见并送其更华丽的衣物,心机,155,她因逾制更甚被太后亲自责罚。,"心机+20;声望+10",她以为你怕了她，愈发嚣张。,"声望-20",0
5253,机遇,雪夜对弈,冬夜，皇上兴致颇高，邀你手谈一局。,全力以赴不相伯仲,才情,165,皇上赞你棋艺精进，引你为良师。,"才情+15;圣宠+15",你赢太狠，皇上觉得丢了面子。,"圣宠-10",巧妙布局让皇上一子,心机,150,皇上赢得很开心，赏赐你暖玉。,"圣宠+20;心机+10",被皇上看穿你在弄虚作假。,"圣宠-15",1
5254,日常,佛堂祈福,皇上最近为江南水患忧心，你决定去佛堂礼佛。,长跪三日抄写佛经,体质,145,皇上感念你的诚心，亲自来扶你。,"圣宠+20;体质-15",你体力不支晕倒在香炉旁。,"体质-30",筹集后宫余款赈灾,声望,155,皇上赞你有忧国忧民之风。,"声望+25;圣宠+10",被指责后宫干政，沽名钓誉。,"死亡",0
5255,机遇,皇帝赠画,皇上亲笔画了一幅《海棠醉酒图》赠予你。,回赠一首赞美画意的新诗,才情,160,皇上称你是这世上最懂他的人。,"才情+15;圣宠+15",诗句意境太俗，坏了画意。,"才情-10",将画挂在正殿向众人展示,容貌,150,众人皆知你圣宠不衰。,"声望+15;容貌+5",引起嫉妒，画作当晚被污损。,"声望-20",1
5256,博弈,内务纠纷,内务府送来的炭火不仅斤两不足，且烟尘极大。,亲自传唤总管对质,心机,155,总管被你的威严震慑，跪地求饶。,"心机+15;声望+10",总管是皇后的远亲，你反被指责。,"死亡",暗中换掉主管的克扣记录,声望,160,你抓住对方死穴，使其效忠于你。,"心机+20;声望+10",行动失败，被指控栽赃嫁祸。,"死亡",0
5257,日常,指导礼仪,进宫的新人需你这位贵妃亲自点拨。,言传身教端庄之态,容貌,155,新人们皆叹服于你的母仪风范。,"声望+15;容貌+10",你被指责老态，不如新人灵动。,"容貌-20",严格要求惩罚错漏,心机,150,你建立了严苛的宫中秩序。,"心机+15;声望+5",新人向皇上告状说你虐待。,"圣宠-20",0
5258,机遇,伴驾出巡,皇上巡视京郊水利，特许你随侍在侧。,换上简洁装束陪同视察,体质,145,你吃苦耐劳的表现让皇上很感动。,"圣宠+20;体质-10",你娇气喊累，皇上心生厌烦。,"圣宠-15",在路边凉亭煮茶待君归,才情,150,皇上赞你不仅有才更有情趣。,"圣宠+15;才情+10",茶水被风沙污染，难以下咽。,"圣宠-10",1
5259,日常,研磨香粉,你尝试用古法制作一种能驻颜的胭脂。,亲自试用效果惊人,容貌,160,皇上称你如初见般娇艳。,"容貌+15;圣宠+15",胭脂导致皮肤红疹。,"容貌-40",进献给太后美容,声望,150,太后赞你孝心可嘉。,"声望+15",太后用了起红疙瘩。,"死亡",0
5260,死局,家族受累,你族中子弟醉酒误伤了朝廷命官。,主动跪在御书房请罪,声望,160,皇上念你大义，从轻发落了家族。,"声望+20;圣宠+10",你在烈日下跪晕，皇上也没开恩。,"体质-50",暗中派人送金银封口,心机,165,事情暂时平息，未惊动龙颜。,"心机+25",被言官抓到证据，罪加一等。,"死亡",0
5261,日常,修缮古琴,一柄断了弦的古琴是皇上母妃遗物，命你修复。,凭借才学重连琴弦,才情,155,琴声复鸣，皇上听后落泪。,"才情+20;圣宠+20",琴弦太紧，当众崩断。,"死亡",建议皇上亲手续弦,心机,150,两人共同修琴，情意更深。,"圣宠+15;心机+10",皇上伤感过度，迁怒于你。,"圣宠-20",1
5262,机遇,宴会献艺,番邦使节入宫，皇上命你展示国风才艺。,表演高难度的霓裳羽衣舞,容貌,165,你舞姿震撼全场，皇上倍儿有面子。,"容貌+20;圣宠+20",你在旋转时滑倒。,"声望-40",当场弹奏古筝名曲,才情,160,使臣皆叹中国文化博大精深。,"声望+20;才情+15",指法出错，显得生疏。,"声望-15",1
5263,博弈,嫔妃之死,一名答应意外落水身亡，传闻与你有瓜葛。,严查真相公开细节,心机,160,你洗清了嫌疑并展示了公正。,"心机+20;声望+10",证据被销毁，你百口莫辩。,"死亡",厚葬该答应并安抚家眷,声望,155,你因慈悲赢得了人心。,"声望+20;圣宠+5",被人说成是心虚。,"声望-30",0
5264,日常,练习骑术,皇上邀你骑马射箭，你已多年未试。,英姿飒爽一箭中靶,体质,155,皇上赞你宝刀未老。,"体质+15;圣宠+10",你从马上摔了下来，仪态尽失。,"容貌-20",在马背上轻盈起舞,容貌,160,皇上被你别样的魅力折服。,"圣宠+20;容貌+10",惊了圣驾。,"死亡",1
5265,机遇,深夜访谈,皇上提到想削弱外戚，其中涉及你母家。,主动提议缩减家族特权,心机,165,皇上赞你深明大义，对你更信任。,"心机+25;圣宠+10",家族从此与你离心。,"声望-50",请求皇上看在往日情分上留情,容貌,155,皇上心软，网开一面。,"圣宠+15;容貌+5",被皇上视为不明大局。,"死亡",1
5266,日常,整理书画,你在藏书阁发现一幅被尘封的旧画，似是皇上亲笔。,精心装裱并题字,才情,160,皇上感念你的用心。,"才情+15;圣宠+10",你不小心弄花了真迹。,"死亡",请皇上共同赏析,心机,145,唤起了皇上美好的少年回忆。,"圣宠+15;心机+10",皇上觉得你翻动旧物，不够稳重。,"圣宠-10",1
5267,博弈,宫宴中毒,你在宴会上发现皇上的酒杯边缘有异样。,不顾仪态撞翻酒杯,体质,150,你救驾有功，皇上深感后怕。,"圣宠+25;体质-10",被指惊扰龙驾，大不敬。,"死亡",悄悄与皇上交换酒杯,心机,165,你以身试毒，皇上大恸。,"圣宠+30;体质-50",你当场身亡。,"死亡",1
5268,日常,培育名花,你在暖阁种出了一株能随光变色的异草。,献给皇上装饰御书房,容貌,150,皇上赞你如花般变幻多姿。,"圣宠+15;容貌+5",花香导致皇上过敏。,"圣宠-20",请皇后共同观赏,声望,145,你展示了后宫的和睦。,"声望+15;心机+5",皇后嫉妒并派人剪断了它。,"声望-10",0
5269,机遇,岁末赏赐,皇上赐你一件金缕衣，全宫仅此一件。,谦卑地请太后先穿,声望,160,太后大悦，封你为“贤德贵妃”。,"声望+25;心机+10",被皇上觉得你轻视他的礼物。,"圣宠-20",穿着它在除夕夜献舞,容貌,165,你是那一晚最耀眼的星。,"圣宠+20;容貌+20",衣物太重，跳到一半摔倒。,"声望-30",1
5270,死局,厌胜之术,有人在你枕下放了皇上的生辰八字和银针。,立刻在大殿自请搜查,心机,165,你主动出击，让幕后之人措手不及。,"心机+25;声望+10",你没搜到陷害者的证据。,"死亡",紧紧抱住皇上痛哭自辩,容貌,155,皇上怜惜你的深情，选择相信你。,"圣宠+20;容貌-10",皇上觉得你在演戏。,"死亡",1
5271,日常,研习古方,你发现一种能使头发乌黑亮丽的洗发秘方。,亲自为皇上洗发按摩,体质,145,皇上感到无比舒适，赞你手巧。,"圣宠+15;体质+5",药水进了皇上眼睛。,"圣宠-30",写成折子交给太医院,才情,155,你被誉为后宫学问最深的人。,"才情+15;声望+10",被太医指责乱用方子。,"死亡",0
5272,机遇,雨中漫步,皇上邀你在雨后初晴的御花园散步。,折一枝带露的荷花送君,容貌,150,皇上称你人比花娇。,"圣宠+15;容貌+10",你不慎滑倒进泥坑里。,"容貌-20",分析雨后水利的利弊,才情,160,皇上赞你胸怀天下。,"圣宠+20;才情+15",皇上觉得你煞风景。,"圣宠-10",1
5273,博弈,亲蚕礼,你需代表皇室主持亲蚕礼，场面盛大。,亲自下田采桑示范,体质,150,百姓和嫔妃皆感念你的勤劳。,"声望+20;体质-10",你被蚕虫吓到尖叫失仪。,"声望-40",身着华服主持大局,声望,160,你展现了贵妃的高贵风范。,"声望+25;心机+5",被指责华而不实，不懂民间疾苦。,"声望-20",0
5274,日常,练习书法,你在练习写皇上的名字，被皇上撞见。,羞涩掩盖不给看,容貌,145,皇上觉得你此时格外动人。,"圣宠+15;容貌+5",皇上觉得你有不可告人的秘密。,"圣宠-15",坦然请皇上指教笔法,才情,155,两人共写一张纸。,"圣宠+15;才情+10",你的字写得太差，皇上嫌弃。,"才情-10",1
5275,机遇,夜观星象,皇上在台阁观星，命你陪伴。,引用古籍解读星象,才情,160,皇上惊异于你的博学。,"才情+20;圣宠+15",你随口胡诌，被皇上识破。,"才情-20",靠在皇上肩头看风景,容貌,150,皇上感到片刻的温情。,"圣宠+15;容貌+5",皇上正在忧心星象，你太轻浮。,"圣宠-15",1
5276,日常,宫中裁撤,皇上想削减宫中开支，问你意见。,带头削减自己宫中用度,声望,160,后宫皆效仿，皇上赞你贤惠。,"声望+25;心机+10",你日子过得寒酸，皇上不愿来了。,"圣宠-30",优化宫中人手配置,心机,155,效率提高且开支降低。,"心机+20;声望+10",被遣散的宫女聚众闹事。,"声望-20",0
5277,博弈,外国使臣赠礼,使臣送来一套极其烧脑的九连环陷阱。,在规定时间内解开,心机,165,你维护了大国的尊严。,"心机+25;声望+15",你解不开，场面尴尬。,"声望-20",优雅地将其转化为装饰,才情,155,皇上赞你变通极快。,"圣宠+15;才情+15",使臣觉得你是在蔑视他。,"死亡",0
5278,日常,古画临摹,你临摹了一幅前朝的《洛神赋图》。,将自己的神韵融入画中,容貌,160,皇上赞你就是洛神转世。,"容貌+15;圣宠+15",画得不伦不类。,"容貌-20",送给皇上并配上感人小诗,才情,155,皇上深感你的爱意。,"圣宠+20;才情+10",诗句中有错别字。,"死亡",1
5279,机遇,皇帝生病,皇上患了风寒，不让任何人伺候。,隔着门为皇上唱家乡小调,才情,150,皇上听后心软，让你进去。,"圣宠+25;才情+10",歌声太难听，皇上更头痛。,"圣宠-20",不顾禁令冲进去照顾,体质,160,皇上被你的深情感动。,"圣宠+30;体质-20",你被侍卫强行拖走。,"死亡",1
5280,巅峰博弈,皇后凤印,皇后暂交凤印让你代管一个月。,处理得滴水不漏,心机,170,你展示了完美的统治能力，皇上动了立你之心。,"心机+30;声望+20",虽然没出错，但皇上觉得你权欲太重。,"圣宠-30",期间提拔贤能嫔妃,声望,160,你成了后宫当之无愧的领袖。,"声望+40;心机+10",被指责结党营私。,"死亡",1
5281,日常,御膳评鉴,内务府新进了一位名厨，皇上命你先尝其手艺。,指出菜品火候不足,体质,140,皇上赞你味觉敏锐，懂养生。,"圣宠+15;体质+5",你因尝食太多导致积食。,"体质-20",为菜品赋诗赐名,才情,155,皇上赞你雅兴，赐该厨师重赏。,"才情+10;圣宠+10",诗句与菜名冲突，大失体面。,"声望-20",1
5282,机遇,雨中抚琴,暴雨冲刷宫墙，你在廊下弹奏一曲《广陵散》。,曲中意境慷慨激昂,才情,160,皇上听出你胸中的巾帼气概。,"才情+20;圣宠+15",琴弦被雨水浸湿断裂。,"才情-10",邀皇上共同听雨,容貌,145,两人享受片刻宁静。,"圣宠+15;容貌+5",你受了风寒。,"体质-30",1
5283,博弈,新妃求见,一名极受宠的新人想拜你为师，学习仪态。,悉心教导建立威望,声望,155,她成了你的忠实拥趸。,"声望+20;心机+5",她学成后反手抢了你的圣宠。,"圣宠-40",拒绝并告诫其守本分,心机,160,你展现了贵妃的高不可攀。,"心机+15;声望+10",她去皇上那告你排挤新人。,"圣宠-20",0
5284,日常,修缮古籍,宫中藏书楼漏雨，你负责抢救珍贵孤本。,亲自带人连夜抢修,体质,150,皇上感念你对国宝的珍视。,"圣宠+20;体质-15",你不慎跌落书架。,"死亡",指挥宫人分类晾晒,心机,155,办事井井有条，未损一页。,"心机+15;声望+10",方法不当，孤本长了霉点。,"死亡",0
5285,机遇,皇帝忆往,皇上谈起早年登基的艰辛，神色疲惫。,献上治国策论参考,才情,165,皇上惊觉你具备辅佐之才。,"才情+20;圣宠+10",皇上忌讳后宫谈论政事。,"死亡",温柔替皇上按压太阳穴,体质,145,皇上在你这里得到了放松。,"圣宠+20;体质+5",你动作生硬惹皇上心烦。,"圣宠-10",1
5286,日常,后宫比舞,各宫都在排演新舞，皇上命你坐镇评判。,点评一针见血显专业,才情,155,众人皆惊叹你的艺术造诣。,"才情+15;声望+10",你的点评得罪了受宠嫔妃。,"声望-20",亲自上场表演一段压阵,容貌,165,你一出手便知高下，全场惊艳。,"圣宠+20;容貌+15",体力不支跳错动作。,"声望-30",1
5287,博弈,亲族入京,你母家有人因军功受封，入宫谢恩。,低调戒勉防止骄奢,心机,160,皇上赞你家风淳厚。,"心机+20;声望+10",家族怨你自命清高。,"声望-20",请求皇上加倍赏赐,声望,160,家族显赫，你地位更稳。,"声望+20;圣宠+10",被弹劾外戚权势过大。,"死亡",0
5288,日常,种植药草,你在后院开辟药圃，尝试自制清火茶。,茶味清香效果极佳,体质,145,皇上火气全消，睡眠转好。,"体质+10;圣宠+15",你误将毒草混入其中。,"死亡",请皇上共同松土移栽,容貌,140,皇上觉得这种田园之趣甚妙。,"圣宠+20;容貌+5",泥土弄脏了皇上的龙袍。,"圣宠-10",1
5289,机遇,岁中大考,皇上命你考核各宫宫女的规矩。,法外开恩获得感激,声望,150,底层宫人皆视你为活菩萨。,"声望+20",被指责治宫不严。,"声望-20",铁面无私淘汰平庸,心机,160,后宫风气一振，效率提升。,"心机+20;声望+10",由于裁员导致怨声载道。,"死亡",0
5290,死局,谋逆书信,你在枕头下发现一封伪造的勾结反贼信。,连夜烧毁并封锁消息,心机,165,你处理得极快，未留把柄。,"心机+20",被路过的眼线发现。,"死亡",拿信去向皇上哭诉被冤,容貌,155,皇上怜你被陷害，深查背后真凶。,"圣宠+20;容貌-10",皇上见信后疑心大起。,"死亡",1
5291,日常,研习刺绣,你正在尝试双面绣，欲送太后。,绣出观音坐莲图,体质,150,太后称你是宫中第一巧手。,"声望+20;体质-10",眼睛劳累过度暂时失明。,"体质-50",绣出岁寒三友图,才情,155,皇上赞你风骨。,"圣宠+15;才情+10",配色太暗，皇上不喜欢。,"圣宠-10",0
5292,机遇,夜半访客,一名小主因失宠在外面哭闹，求你帮她引见。,训诫其仪态教其耐心,心机,155,她感激你的教诲。,"心机+15;声望+5",她觉得你在端架子。,"声望-10",带她去见皇上并求情,声望,150,皇上赞你大度，顺带也宠了你。,"圣宠+20;声望+15",皇上嫌你多管闲事。,"圣宠-20",1
5293,博弈,权印归还,一个月代管期满，你需归还凤印。,如数归还并不留恋,声望,165,皇上赞你懂进退，更想立你。,"声望+30;圣宠+10",皇上觉得你在闹情绪。,"圣宠-15",借机提出优化宫中规章,心机,160,你的才干被彻底认可。,"心机+20;声望+10",被指责想篡夺皇后权柄。,"死亡",0
5294,日常,御苑观鱼,皇上邀你同在池边投喂锦鲤。,以鱼喻人阐述处世之道,才情,160,皇上赞你活得通透。,"才情+15;圣宠+10",言辞太老成，皇上觉得无趣。,"圣宠-10",在水边嬉戏如少女,容貌,150,皇上瞬间想起你年轻的样子。,"圣宠+20;容貌+5",不慎跌入水中。,"体质-40",1
5295,机遇,番邦进贡,外使送来一只极其聪明的八哥，皇上交予你训教。,教其诵读赞美皇上的诗,才情,155,皇上听后龙颜大悦。,"才情+15;圣宠+20",鸟儿学了不该学的脏话。,"死亡",教其辨别后宫奸佞,心机,165,八哥成了你的“耳目”。,"心机+25",鸟儿惊了太后的驾。,"死亡",0
5296,日常,书籍藏品,你得到一本前朝皇后的手札。,无私献呈给太后研究,声望,160,太后觉得你非常有分寸。,"声望+20;心机+10",被指责利用死者邀功。,"声望-20",独自研读学习治宫之法,心机,155,你对后宫的掌控更进一步。,"心机+20",由于太投入冷落了圣驾。,"圣宠-20",0
5297,博弈,后妃口角,两名同位分的妃子在你面前争执不休。,各打五十板收回例钱,心机,155,两人皆不敢再造次。,"心机+15;声望+5",她们联合起来排挤你。,"声望-20",以理服人平息怒火,声望,160,你展现了极佳的调解才干。,"声望+20;心机+10",她们根本不听你的。,"声望-10",0
5298,日常,描金临摹,皇上让你在一把古折扇上临摹兰花。,融入你的清高气韵,容貌,155,皇上随身携带此扇。,"圣宠+15;容貌+10",你不小心把墨滴在手心里。,"容貌-5",配上表达忠心的诗句,才情,160,皇上将其视为珍宝。,"圣宠+20;才情+10",诗句中有避讳词。,"死亡",1
5299,机遇,皇帝噩梦,皇上梦见社稷动荡，半夜惊醒来到你处。,陪伴在侧安稳其神,体质,145,皇上在你这里找到了安全感。,"圣宠+20;体质-10",你睡得太沉没理皇上。,"圣宠-30",通过史料分析为其解惑,才情,165,皇上心里的石头落地。,"圣宠+25;才情+20",皇上觉得你太理性不温柔。,"圣宠-10",1
5300,巅峰日常,贵妃风仪,今日是全宫大朝会，你需站在众妃之首。,展现无可挑剔的仪态,容貌,165,满朝文武皆叹你贵妃风范。,"容貌+15;声望+20",你因首饰太重歪了下头。,"声望-30",沉稳应对嫔妃的挑衅,心机,165,你云淡风轻地化解了危机。,"心机+20;声望+10",被指责不够端庄。,"声望-10",0
5301,日常,研制熏香,你调配出一种能让御书房夏日清凉的香。,亲自送去并为其扇扇,容貌,150,皇上称你为夏日清风。,"圣宠+15;容貌+5",香气引来了许多马蜂。,"死亡",将配方交给太医署推广,声望,155,你因利他之心广受赞誉。,"声望+20;心机+10",被指窃取他人配方。,"声望-10",1
