3010,死局,投毒疑云,你发现自己每日服用的补药中有一股淡淡的杏仁味。,将计就计装病,心机,100,皇上大怒彻查，害你的人被满门抄斩。,"圣宠+35;心机+15",你药量没算准，真的中毒太深。,"死亡",当场泼掉反击,声望,85,你保住了性命，但没能抓到真凶。,"声望+30",你被诬陷毁坏御赐补药。,"圣宠-40",0
3011,机遇,御园雪景,冬日初雪，你在红梅树下为皇上跳了一支舞。,雪中翩翩起舞,容貌,100,皇上被你惊艳，封你为“雪中精灵”。,"容貌+10;圣宠+35",你在雪地滑倒，弄脏了衣服。,"容貌-20;圣宠-30",亲手收集雪水,心机,80,你将雪水烹茶送去，皇上赞你心思雅致。,"圣宠+15;心机+20",皇上觉得这茶太凉。,"体质-10",1
3012,日常,整理旧画,你在整理库房时发现了一幅皇上幼年的画像。,精心重裱献上,才情,90,皇上怀念往事，对你倍加珍惜。,"圣宠+25;才情+30",你不小心撕裂了画轴。,"死亡",将其藏入密室,心机,85,你掌握了皇上的一段秘密。,"心机+10",你被指控私盗御物。,"死亡",0
3013,博弈,太后寿辰,各宫都送上重礼，你却只有一份手抄经书。,以赤诚心讲解,才情,100,太后被你的孝心打动，亲赐如意。,"声望+30;圣宠+15",太后觉得你寒酸，不耐烦。,"声望-40",请皇上共同加盖,心机,90,这份礼瞬间成了全场最高规格。,"圣宠+30;心机+10",皇上不愿帮你。,"圣宠-30",0
3014,日常,练习书法,你在宣纸上练字，皇上从背后揽住你的腰。,反手环住皇上,容貌,95,两人意乱情迷，共享鱼水之欢。,"圣宠+30;容貌+10",皇上觉得你太轻浮。,"圣宠-40",专心写完此字,才情,90,皇上赞你定力极佳，不愧名门。,"才情+30;圣宠+10",皇上手抖写歪了。,"圣宠-10",1
3015,机遇,边关大胜,皇上喜极而泣，在殿内疯狂饮酒。,陪皇上不醉不归,体质,95,皇上觉得你真性情，抱你入怀。,"圣宠+25;体质-20",你喝醉后胡言乱语。,"圣宠-60",温柔劝阻保重,声望,90,皇上觉得你像他的贤内助。,"声望+20;圣宠+15",皇上觉得你扫兴。,"圣宠-30",1
3016,博弈,内务府挑衅,内务府送来的香料不仅分量少，还夹杂了劣质品。,直接闹到御前,声望,100,皇上为你撑腰，内务府总管被杖毙。,"圣宠+20;声望+30",皇上嫌你小题大做。,"声望-50",暗中用银子摆平,心机,85,你不仅拿到了好货，还让总管欠了情。,"心机+15",你变得一贫如洗。,"声望-20",0
3017,日常,御花园观鱼,你在池边喂鱼，一名宠妃故意推你下水。,冷静游回岸上,体质,95,你当场抓住对方的手，证据确凿。,"体质+20;心机+10",你被淹得半死。,"体质-50;容貌-20",顺势大声求救,容貌,90,皇上恰巧赶到救起你，怜爱万分。,"圣宠+30;容貌+10",皇上没听见，你大病一场。,"体质-40",0
3018,死局,鸩酒疑局,你被指控在皇后膳食中下毒，皇上已动杀心。,以全族性命起誓,声望,120,你的决绝让皇上生疑，重查此案。,"声望+15;圣宠+25",皇上觉得你是在威胁。,"死亡",指出毒药的破绽,心机,105,你冷静分析脱身。,"心机+30",皇上根本不想听解释。,"死亡",0
3019,机遇,月下论道,皇上最近对修仙入迷，问你的看法。,劝皇上务实治国,声望,100,皇上赞你为“贤妃之范”。,"声望+25;圣宠+10",皇上觉得你阻碍他长生。,"死亡",学习道家经义,才情,95,你成了皇上唯一的道友。,"才情+15;圣宠+30",你因为乱吃丹药。,"体质-50",1
3020,日常,整理书信,你在整理家书时发现父亲在朝中受到排挤。,求皇上主持公道,圣宠,90,皇上因为宠爱你，顺带提拔了你父亲。,"声望+30;圣宠+15",皇上嫌后宫干政。,"死亡",暗中寄送计谋,心机,95,你父亲成功翻盘，你家世稳固。,"心机+20;声望+10",密信被截获。,"死亡",0
3021,博弈,宴会领舞,后宫大宴，你被推选领跳大舞。,展示惊鸿舞姿,容貌,100,你成了全宫最耀眼的星，皇上目不转睛。,"容貌+10;圣宠+15",你跳舞时扭伤了脚。,"容貌-10;体质-30",提议共同起舞,心机,85,你拉着皇上的手，互动亲密。,"圣宠+30;心机+30",皇上觉得你太招摇。,"圣宠-40",1
3022,日常,种植牡丹,你在庭院种出了罕见的绿牡丹。,献给太后赏玩,声望,100,太后大悦，直夸你手巧心诚。,"声望+30;圣宠+15",花在半路枯萎。,"声望-30",请皇上共同修剪,容貌,90,两人在花间嬉戏，情趣横生。,"圣宠+25;容貌+10",你剪断了主枝。,"圣宠-20",1
3023,死局,刺客突袭,晚宴上，一名舞姬拔剑刺向皇上。,用身体挡住剑锋,体质,120,你重伤未死，成了皇上的心尖宠。,"圣宠+30;体质-50",你当场殒命。,"死亡",掷出手中酒杯,心机,100,你击偏了剑锋，救了驾。,"心机+25;圣宠+30",你没击中。,"死亡",1
3024,日常,修补古卷,皇上心爱的古画受潮，请你帮忙修复。,利用家传技艺,才情,105,画作如新，皇上赞你“兰心蕙质”。,"才情+20;圣宠+25",你不小心弄花了真迹。,"死亡",建议皇上重新临摹,心机,80,皇上觉得你知趣。,"心机+20;圣宠+30",皇上觉得你偷懒。,"圣宠-20",0
3025,机遇,皇帝噩梦,皇上梦见山河破碎，惊醒后抱住你痛哭。,温柔轻声歌唱,才情,95,皇上在你的歌声中慢慢平静。,"才情+30;圣宠+25",皇上觉得你吵闹。,"圣宠-30",紧紧抱住他安慰,容貌,100,皇上在你身上找到了温存。,"圣宠+30;容貌+10",皇上推开了你。,"圣宠-20",1
3026,博弈,姐妹站队,两名高位妃子为了争宠，要你选边站队。,两不相帮保持中立,心机,105,你凭借智慧左右逢源。,"心机+20",你被两边同时记恨。,"声望-100",倒向得宠的一方,声望,90,你获得了短暂的庇护。,"声望+15",对方失势，你被一起清算。,"死亡",0
3027,日常,研制胭脂,你试图调配一种带香气的独家唇膏。,亲自涂抹给皇上瞧,容貌,100,皇上忍不住一亲芳泽。,"圣宠+30;容貌+20",唇膏有过敏反应。,"容貌-50",献给皇后使用,声望,85,你成功讨好了皇后。,"声望+20;心机+20",皇后用后皮肤受损。,"死亡",0
3028,机遇,圣上微恙,皇上批阅奏章时感到头晕目眩。,上前指法按摩,体质,95,皇上感到神清气爽。,"圣宠+20;体质-10",你按错了穴位。,"圣宠-20",奉上亲熬参汤,心机,90,皇上感念你贴心。,"圣宠+15;心机+20",参汤太苦，皇上不喜。,"圣宠-10",1
3029,日常,抄写经书,你为祈求国泰民安，在佛堂斋戒七日。,诚心抄写千遍,声望,100,皇上赞你心怀天下，大加赏赐。,"声望+30;圣宠+15",你累得晕倒在佛堂。,"体质-60",找人暗中代笔,心机,90,你成功偷懒且未被发现。,"心机+15",被发现对佛不敬。,"死亡",0
3030,机遇,春日游船,你在湖心岛遇到皇上正独自看荷花。,一曲笛声引龙舟,才情,95,皇上命人接你上船同游。,"圣宠+25;才情+10",笛子吹破了音。,"圣宠-20",跳入水中采荷,体质,105,你全身湿透献荷，皇上心疼不已。,"圣宠+35;体质-30",你险些溺死。,"死亡",1
3031,日常,宫中绘画,你在画一幅《锦绣山河图》。,加入皇上的身影,心机,100,皇上见画如见其心，深感欣慰。,"圣宠+30;心机+10",皇上觉得你亵渎龙颜。,"死亡",追求极致艺术感,才情,105,你的画作被载入宫廷典藏。,"才情+25;声望+15",你画得太慢，皇上失去了兴致。,"圣宠-20",0
3032,博弈,新人入宫,一批年轻秀女进宫，抢了你的风头。,以成熟气质取胜,容貌,105,皇上觉得还是你更有韵味。,"圣宠+30;容貌+30",皇上真的被新人勾走了。,"圣宠-60",传授她们宫规,声望,95,你树立了长辈威信。,"声望+25;心机+20",她们联合起来嘲笑你老。,"声望-40",0
3033,机遇,深夜密谈,皇上找你商量如何应对贪赃枉法的亲信。,提供关键线索,心机,120,你的情报助皇上平定朝纲。,"心机+30;圣宠+30",情报错误导致皇上被动。,"死亡",劝皇上宽仁待下,声望,100,皇上觉得你很善良。,"声望+20;圣宠+10",皇上觉得你没见识。,"声望-30",1
3034,日常,练习剑舞,你在院中练习，皇上路过讨要一试。,与皇上共舞对剑,体质,105,两人身手矫健，极尽缠绵。,"圣宠+35;体质+30",你误伤了皇上的龙袍。,"死亡",柔弱收招行礼,容貌,95,皇上赞你刚柔并济。,"圣宠+20;容貌+20",皇上觉得你做作。,"圣宠-10",1
3035,死局,鸩酒风波,某位嫔妃死在你宫里，现场所有证物指向你。,自请入慎刑司调查,心机,120,你坦荡的做法赢得了清白。,"心机+30;声望+15",你在里面被屈打成招。,"死亡",求皇上赐你一死,声望,105,皇上不信你会害人，为你平反。,"圣宠+15;声望+25",皇上真的准了。,"死亡",0
3036,日常,整理内务,你在库房发现了一件陈年旧衣。,将其改造成新款式,才情,95,皇上赞你独具匠心。,"才情+10;圣宠+30",你把衣服剪坏了。,"声望-20",将其归位不语,心机,85,你躲过了关于旧人的风波。,"心机+30",你被灰尘呛病了。,"体质-20",0
3037,机遇,皇帝生辰,你准备献上一份别出心裁的礼物。,亲手缝制万寿龙袍,体质,100,皇上穿着龙袍，赞你最是用心。,"圣宠+15;体质-40",你因为赶工双目受损。,"容貌-50;体质-30",排演塞外大戏,才情,105,皇上听得热血沸腾，重重赏你。,"才情+25;圣宠+30",戏台塌了。,"声望-100",1
3038,日常,庭院观星,你在深夜观测星象，试图预测吉凶。,向皇上解说祥瑞,才情,100,皇上龙颜大悦。,"才情+15;圣宠+15",你被指控妖言惑众。,"死亡",陪皇上静看星河,容貌,95,此时无声胜有声。,"圣宠+25;容貌+20",皇上睡着了。,"圣宠-10",1
3039,博弈,内廷宴会,贵妃故意刁难，让你当众背诵《女诫》。,背诵得字字珠玑,才情,105,皇上赞你是后宫典范。,"声望+30;圣宠+15",你紧张得忘词。,"声望-60",以病弱之躯晕倒,心机,90,皇上心疼得立刻抱你回宫。,"圣宠+35;心机+30",贵妃指责你装模作样。,"声望-30",0
3040,机遇,皇帝出巡,皇上要带几名妃子去避暑山庄，名额有限。,写下动人情诗申请,才情,105,皇上被诗中深情感动。,"圣宠+30;才情+10",皇上觉得你太缠人。,"圣宠-40",打通公公的关系,心机,95,你成功出现在名单首位。,"心机+20",行贿被揭发。,"死亡",1
3041,博弈,内廷封赏,内务府送来今年份的东珠，分量却被邻宫的嫔位占了先。,暗中搜集证据举报,心机,105,你抓住了对方克扣公款的死穴，成功让其降位。,"心机+15;声望+30",反被诬陷窥探上封，罚跪三日。,"体质-40;声望-20",以退为进送予皇后,声望,100,皇后感念你识大体，补发了更好的赏赐。,"声望+20;圣宠+10",对方觉得你在羞辱她。,"声望-30",0
3042,机遇,月下剑舞,你在太液池边练剑，皇上路过见你月下孤影，心中一动。,展示飒爽身姿,体质,110,皇上赞你不仅有柔情更有风骨，当晚留宿。,"圣宠+30;体质+20",你因体力不支摔入池中。,"体质-50;容貌-10",收剑请罪受惊,容貌,95,皇上拉住你的手，称你这般才最是动人。,"圣宠+20;容貌+20",皇上觉得你扫兴。,"圣宠-20",1
3043,日常,宫中刺绣,你正在绣一幅《江山万里图》，皇上见后大为震撼。,请求皇上落款,才情,115,这幅画成了御笔亲题的孤本，你地位稳如泰山。,"圣宠+15;才情+15",皇上觉得你贪图虚名。,"圣宠-40",低头浅笑不语,心机,90,皇上喜欢你的淡泊，亲自为你别上一支金钗。,"圣宠+15;心机+20",皇上觉得你木讷无趣。,"声望-10",1
3044,博弈,家族牵连,你父亲在朝中因直言进谏得罪了权臣，皇上面露忧色。,上折子代父请罪,声望,110,皇上感念你全家忠义，免去责罚并赏赐于你。,"声望+30;圣宠+15",皇上认为你在后宫干政。,"死亡",温婉侍奉不谈国事,容貌,105,皇上见你懂事，反而主动提拔了你父亲。,"圣宠+25;心机+30",皇上觉得你对家族冷漠。,"声望-50",1
3045,死局,深宫惊魂,你在回宫路上撞见一名太监在枯井旁鬼鬼祟祟。,立刻折返报警,心机,115,你成功破获了一起谋害妃嫔的惊天大案。,"声望+35;心机+20",你在逃跑时发出了声响。,"死亡",装作没看见路过,体质,100,你成功避开了祸端。,"心机+10",你被当作同谋抓获。,"死亡",0
3046,日常,研磨香料,你尝试复原前朝著名的“百花软筋香”。,给皇上试用,心机,110,皇上沉醉其中，对你百依百顺。,"圣宠+35;心机+10",香气太浓导致皇上哮喘发作。,"死亡",送给交好的妃子,声望,95,你成功巩固了在宫中的人脉。,"声望+15;心机+20",对方指控你在香里下毒。,"死亡",0
3047,机遇,岁末大考,太后在年终宴会上考校各宫嫔妃的修养。,以高超舞技夺冠,容貌,120,你一舞惊鸿，皇上直接赏你协理内务之权。,"圣宠+200;容貌+15",跳舞时发簪掉落，大不敬。,"声望-100",以诗书才情致辞,才情,115,太后赞你有大家风范，赐你玉如意。,"声望+35;才情+15",言辞不当惹怒太后。,"声望-80",0
3048,日常,庭院小酌,你自酿了桃花醉，邀请皇上月下对饮。,吟诵思念之词,才情,110,皇上听得动情，许下白首之约。,"圣宠+30;才情+30",皇上嫌你多愁善感。,"圣宠-30",豪爽与皇上碰杯,体质,105,皇上赞你率真可爱。,"圣宠+25;体质-20",你喝醉了御前呕吐。,"圣宠-100",1
3049,博弈,婢女背叛,你身边的一等丫鬟被高位妃子收买，试图往你被褥里塞邪物。,当场抓现行并反间,心机,120,你利用此计让对方反遭罢黜。,"心机+30;声望+15",你计划败露被诬告杀人。,"死亡",不动声色调离,声望,100,你保全了名声且清除了隐患。,"心机+10;声望+20",对方鱼死网破自尽害你。,"死亡",0
3050,机遇,圣驾避暑,夏日炎炎，皇上在凉亭中小憩，你在旁扇风。,献上清凉药膏,体质,105,皇上感到神清气爽，称你是他的解语花。,"圣宠+25;体质-10",药膏味道太冲惊醒了圣驾。,"圣宠-30",趁机轻吻圣颜,容貌,115,皇上醒后顺势将你压在身下。,"圣宠+15;容貌+20",皇上觉得你举止轻浮。,"圣宠-50",1
3051,日常,修补孤本,皇上书房的一卷《论语》受潮损坏。,精心修补复原,才情,110,皇上赞你不仅有才更有耐性。,"才情+15;圣宠+20",你不小心弄掉了一块金箔。,"声望-30",建议皇上重写,心机,90,皇上觉得你懂分寸。,"心机+20;圣宠+30",皇上觉得你懒惰。,"圣宠-20",0
3052,机遇,雨中漫步,你在御花园突遇暴雨，皇上恰好撑伞经过。,请求共撑一把伞,容貌,115,雨中漫步，皇上觉得你娇弱惹人怜。,"圣宠+30;容貌+20",你滑倒后溅了皇上一身泥。,"圣宠-80",婉拒并独自离开,声望,105,皇上赞你守礼，派人送你回宫。,"声望+15;圣宠+30",皇上觉得你清高傲慢。,"圣宠-20",1
3053,博弈,嫔位挑衅,一名刚晋升的嫔当众嘲讽你家世平平。,以德报怨反讽,心机,115,你优雅的谈吐让皇上觉得她极其庸俗。,"圣宠+30;心机+15",你气急败坏失了仪态。,"声望-50",展示皇上特赐宝物,声望,110,对方嫉妒发狂却无话可说。,"声望+25;圣宠+30",被指控炫耀圣宠。,"声望-40",0
3054,日常,整理卷轴,你在御书房整理前朝遗留的兵法。,提出独到见解,才情,125,皇上大为惊讶，引你为入幕之臣。,"才情+30;圣宠+35",皇上斥责你妄谈国事。,"死亡",整理得一尘不染,心机,95,皇上赞你细心。,"心机+30;声望+20",你弄乱了绝密卷轴。,"死亡",0
3055,死局,谋刺惊魂,晚宴上，刺客混入乐师中，正欲对皇上发难。,以身挡箭不退缩,体质,125,你死里逃生，成为皇上唯一的挚爱。,"圣宠+30;体质-80",你被刺穿心脏。,"死亡",击碎宫灯制造混乱,心机,120,刺客视线受阻被抓，你救驾有功。,"心机+30;圣宠+30",混乱中皇上受了轻伤。,"死亡",1
3056,日常,刺绣荷包,你要给皇上做一个防蚊虫的药香荷包。,加入塞外奇药,体质,110,皇上佩戴后神清气爽，百虫不侵。,"圣宠+25;体质+20",药性相克，皇上起了一身红疹。,"死亡",绣上两人名讳,容貌,105,皇上觉得你情深意重。,"圣宠+30;容貌+10",被指控大不敬。,"声望-50",1
3057,机遇,边关家书,你哥哥在边疆立下战功，皇上大喜。,请求赏赐哥哥,声望,115,皇上赞你兄妹情深，加封你为嫔。,"圣宠+20;声望+200",皇上嫌你得寸进尺。,"声望-50",表现得谦卑不安,心机,110,皇上觉得你识大体，加倍宠你。,"圣宠+15;心机+15",皇上觉得你假惺惺。,"圣宠-30",1
3058,日常,御花园观星,你在夜里观测到了百年一遇的流星雨。,向皇上解释吉兆,才情,115,皇上对此深信不疑，赏你如意。,"才情+20;圣宠+25",你记错了星象名称。,"才情-20",陪皇上静默祈福,容貌,105,皇上在这一刻感到了永恒。,"圣宠+30;容貌+20",被蚊虫叮得满脸包。,"容貌-30",1
3059,博弈,内廷宴会,贵妃故意让你在众臣面前表演并不擅长的琵琶。,弹奏新创奇调,才情,120,你的灵气惊艳全场，皇上倍感面子。,"才情+25;圣宠+15",你拨断了琴弦。,"声望-60",称病借故离开,心机,110,你成功躲过了羞辱。,"心机+15",贵妃向皇上告你蔑视宴请。,"圣宠-50",0
3060,机遇,皇上微恙,皇上因为国事操劳，夜里总是睡不着。,亲自调制安神香,心机,115,皇上终于沉沉睡去，醒来对你大赏。,"圣宠+30;心机+15",香里被人换了毒药。,"死亡",彻夜守候读诗,才情,110,你的声音让皇上感到心安。,"才情+15;圣宠+25",皇上嫌你声音太吵。,"圣宠-30",1
3061,日常,整理药库,你在太医院帮忙整理贡品药材。,发现过期伪劣药,心机,115,你揭发了太医院的贪污，立下大功。,"心机+25;声望+15",你被太医联手诬告监守自盗。,"死亡",私藏珍稀药材,体质,110,你通过药物调理，容光焕发。,"体质+15;容貌+30",被发现后按偷窃论罪。,"死亡",0
3062,机遇,太后病重,太后身体不适，各宫都在病榻前轮流守候。,亲手煎药试毒,体质,115,太后被你打动，下旨晋升你。,"声望+20;圣宠+30",你被药气熏得晕倒，太后嫌你不中用。,"体质-50",讲述家乡趣闻,才情,110,太后心情转好，留你陪伴。,"才情+20;声望+25",太后嫌你吵闹。,"声望-30",0
3063,日常,练习歌舞,你在梅林里练习歌唱，引来百鸟围观。,唱出旷世神曲,才情,120,皇上称你是“后宫仙子”。,"才情+30;圣宠+15",你嗓子突然哑了。,"体质-20",拉皇上共同合唱,容貌,110,皇上玩心大发，与你同乐。,"圣宠+30;容貌+30",皇上觉得你没大没小。,"圣宠-40",1
3064,博弈,位分逾制,你发现对头妃子穿了只有皇后能用的缂丝。,当众向皇上揭发,声望,120,对方被贬，你获得赏赐。,"声望+30;圣宠+15",对方辩称是皇后所赐，你反被罚。,"死亡",暗中弄脏那件衣服,心机,115,她在宴会上出丑，被指仪态不端。,"心机+25",你被当场抓住。,"死亡",0
3065,死局,鸩酒疑云,皇上误信谗言，命你喝下御赐的“补药”。,平静饮下表忠心,心机,130,你命悬一线时皇上悔悟救你，从此专宠。,"圣宠+15;心机+30",你真的喝下去了。,"死亡",指出谗言中的逻辑漏洞,才情,125,你靠口才扭转乾坤，反杀小人。,"才情+30;心机+25",皇上根本不想听解释。,"死亡",0
3066,日常,庭院修剪,你在剪一盆极其名贵的盆景。,剪出“龙凤呈祥”,才情,115,皇上赞你不仅有才还有巧心。,"才情+20;圣宠+10",你剪断了主脉。,"死亡",将落花收集做花饼,心机,100,皇上吃到了最香甜的滋味。,"心机+10;圣宠+20",皇上吃了过敏。,"体质-40",1
3067,机遇,皇帝噩梦,皇上梦见战死沙场，醒来惊恐万分。,温柔讲述和平景象,才情,115,皇上在你的描绘中找到希望。,"才情+25;圣宠+30",皇上觉得你太天真。,"圣宠-40",贴身感受帝王心跳,容貌,120,这一夜你成了他唯一的依靠。,"圣宠+200;容貌+30",皇上推开了你。,"圣宠-50",1
3068,博弈,宴会夺宝,皇上拿出一对血珊瑚，让众人即兴赋诗优者得之。,一诗动京城,才情,125,你不仅赢了珍宝，更赢了名声。,"声望+15;才情+30",你写得词不达意。,"声望-50",以柔情博君怜,容貌,115,皇上私下把最好的给了你。,"圣宠+35;容貌+30",皇上觉得你没志气。,"圣宠-30",1
3069,日常,整理旧书,你在书房发现了一本夹着旧情书的古籍。,将其交予皇上处理,心机,115,你因诚实避免了巨大的政治危机。,"心机+30;圣宠+15",皇上被勾起伤感，不想见你。,"圣宠-40",立刻烧毁不留痕迹,声望,110,你守住了这个秘密。,"心机+20",你被路过的妃子看到在烧东西。,"死亡",0
3070,机遇,边疆动乱,皇上为战事忧心，在大殿内大发雷霆。,献上亲绘防御图,心机,125,皇上如获至宝，当众亲吻你。,"圣宠+200;心机+30",图纸漏洞百出导致战败。,"死亡",安静陪伴跪在一旁,体质,115,皇上觉得你最懂他的孤独。,"圣宠+30;体质-30",你跪得晕了过去，皇上嫌烦。,"圣宠-50",1
3071,博弈,内廷流言,宫中流传你与某位年轻大臣家眷私下往来，意图不轨。,坦荡请皇上彻查,声望,115,你问心无愧，皇上查明后心疼你的清白，重赏安抚。,"声望+25;圣宠+20",有人伪造了往来信件，你百口莫辩。,"死亡",以退为进闭门谢客,心机,100,你用行动证明了安分守己，流言自然平息。,"心机+10;声望+20",众人觉得你心虚，处境更加尴尬。,"圣宠-30",0
3072,日常,雪夜寻梅,冬至深夜，你见御花园梅花开得极好，正独自剪枝。,折梅赠予御书房,才情,110,皇上见梅如见人，连夜赶到你宫中赏梅。,"圣宠+30;才情+30",你因风寒冻伤，容颜憔悴。,"体质-40;容貌-10",在树下埋下祈福笺,心机,95,次日皇上挖出纸笺，感念你的一片痴心。,"圣宠+25;心机+20",纸笺被雨水浸湿，成了污迹。,"圣宠-10",1
3073,机遇,家宴领舞,太后举办小型家宴，皇上兴致颇高，点你伴舞。,展示绝技惊鸿舞,容貌,115,你身轻如燕，皇上连连叫好，赏你如意一柄。,"圣宠+35;容貌+30",你跳舞时踩到了裙摆，御前失仪。,"声望-50",请皇上共同击鼓,心机,105,两人琴瑟和鸣，极尽恩爱之态。,"圣宠+30;心机+30",皇上觉得你太张扬。,"圣宠-20",1
3074,博弈,御赏之争,内务府将本该属于你的天蚕丝绸送去了对手宫中。,据理力争找总管,声望,110,总管自知理亏，连夜补送了双倍的赏赐。,"声望+20;心机+20",你被指责斤斤计较，失了贵人风度。,"声望-40",向皇上委婉诉苦,容貌,105,皇上见你楚楚可怜，亲自为你撑腰。,"圣宠+25;容貌+10",皇上嫌你琐碎。,"圣宠-30",1
3075,日常,临摹古籍,你在藏书楼发现一本残缺的诗集，正专心补全。,利用才学补全诗句,才情,120,皇上见后大惊，称你为“当朝女班超”。,"才情+30;圣宠+25",你补写的句子平庸无奇。,"才情-20",请皇上共同探讨,心机,100,皇上被你勤学的模样打动，细心教导。,"圣宠+20;心机+30",皇上忙于政务，觉得你烦。,"圣宠-20",0
3076,机遇,圣驾微恙,皇上连续几日熬夜批奏章，眼下青黑一片。,亲手缝制遮光眼罩,心机,110,皇上戴上后安睡良久，赞你心思最细。,"圣宠+25;心机+10",眼罩上的绣花磨到了皇上的眼皮。,"圣宠-20",奉上独家明目粥,体质,105,皇上喝完神清气爽，疲劳全消。,"圣宠+20;体质-10",粥太烫，惊了龙驾。,"圣宠-40",1
3077,博弈,后宫排挤,几位妃嫔在御花园举办茶会，唯独没有请你。,独自在必经之路弹琴,才情,115,皇上被琴声吸引，弃了茶会专门来寻你。,"圣宠+35;才情+10",琴弦突然断裂，寓意不祥。,"圣宠-50",大方带礼登门参加,声望,110,你风姿绰约，反而成了全场焦点。,"声望+25;心机+20",由于没人搭理，你显得极度尴尬。,"声望-30",0
3078,日常,整理旧物,你在翻找衣物时发现了一件皇上曾夸过的旧衣。,穿上它御花园偶遇,容貌,110,皇上勾起往日温存，对你倍加宠爱。,"圣宠+30;容貌+20",皇上早已忘了这件衣服。,"圣宠-20",将其捐赠给受灾宫人,声望,105,太后得知后赞你心怀仁慈。,"声望+30",被指责用旧衣服打发人。,"声望-20",0
3079,机遇,岁末赏雪,皇上要在雪地里考校各位妃嫔的诗才。,出口成章惊四座,才情,120,你一首咏雪诗立意高远，全宫传诵。,"才情+30;声望+15",你半天没憋出一个字。,"声望-40",煮雪烹茶献皇上,心机,105,皇上赞你不仅有才情，更有情趣。,"圣宠+25;心机+30",雪水里有杂质。,"圣宠-20",1
